celebrity_name,season,week,weekly_avg_score,weekly_total_score,num_judges,was_eliminated,weekly_rank_by_avg,weekly_rank_by_total,weekly_score_percentage,results,placement
AJ McLean,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 9,7
AJ McLean,29,2.0,6.333333333333333,19.0,3,False,5.0,5.0,6.95970695970696,Eliminated Week 9,7
AJ McLean,29,3.0,7.0,21.0,3,False,7.0,7.0,7.473309608540925,Eliminated Week 9,7
AJ McLean,29,4.0,8.0,24.0,3,False,3.0,3.0,7.973421926910299,Eliminated Week 9,7
AJ McLean,29,5.0,8.0,24.0,3,False,5.0,5.0,8.362369337979095,Eliminated Week 9,7
AJ McLean,29,6.0,9.0,27.0,3,False,1.0,1.0,10.074626865671641,Eliminated Week 9,7
AJ McLean,29,7.0,8.666666666666666,26.0,3,False,5.0,5.0,10.0,Eliminated Week 9,7
AJ McLean,29,8.0,9.0,27.0,3,False,5.0,5.0,12.162184076007344,Eliminated Week 9,7
AJ McLean,29,9.0,8.333266666666667,24.9998,3,False,6.0,6.0,12.953317941214266,Eliminated Week 9,7
AJ McLean,29,10.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 9,7
AJ McLean,29,11.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 9,7
Aaron Carter,9,1.0,10.666633333333332,31.999899999999997,3,False,2.0,2.0,7.881779829674204,Eliminated Week 8,5
Aaron Carter,9,2.0,9.0,27.0,3,False,1.0,1.0,9.183673469387756,Eliminated Week 8,5
Aaron Carter,9,3.0,7.0,21.0,3,False,4.0,4.0,8.13953488372093,Eliminated Week 8,5
Aaron Carter,9,4.0,6.0,18.0,3,False,8.0,8.0,7.43801652892562,Eliminated Week 8,5
Aaron Carter,9,5.0,8.0,24.0,3,False,4.0,4.0,9.917355371900827,Eliminated Week 8,5
Aaron Carter,9,6.0,10.999933333333333,32.9998,3,False,3.0,3.0,12.692274704027822,Eliminated Week 8,5
Aaron Carter,9,7.0,8.833333333333334,26.5,3,False,2.0,2.0,15.0997150997151,Eliminated Week 8,5
Aaron Carter,9,8.0,8.333333333333334,25.0,3,False,4.0,4.0,19.083969465648856,Eliminated Week 8,5
Aaron Carter,9,9.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 8,5
Aaron Carter,9,10.0,0.0,0.0,3,True,4.0,4.0,0.0,Eliminated Week 8,5
Aaron Carter,9,11.0,,0.0,0,True,,1.0,,Eliminated Week 8,5
Adam Carolla,6,1.0,5.0,15.0,3,False,11.0,11.0,6.172839506172839,Eliminated Week 4,9
Adam Carolla,6,2.0,6.333333333333333,19.0,3,False,9.0,9.0,7.392996108949417,Eliminated Week 4,9
Adam Carolla,6,3.0,7.0,21.0,3,False,6.0,6.0,9.210526315789473,Eliminated Week 4,9
Adam Carolla,6,4.0,6.333333333333333,19.0,3,False,9.0,9.0,8.444444444444445,Eliminated Week 4,9
Adam Carolla,6,5.0,0.0,0.0,3,True,9.0,9.0,0.0,Eliminated Week 4,9
Adam Carolla,6,6.0,0.0,0.0,3,True,8.0,8.0,0.0,Eliminated Week 4,9
Adam Carolla,6,7.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 4,9
Adam Carolla,6,8.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 4,9
Adam Carolla,6,9.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 4,9
Adam Carolla,6,10.0,0.0,0.0,3,True,4.0,4.0,0.0,Eliminated Week 4,9
Adam Carolla,6,11.0,,0.0,0,True,,1.0,,Eliminated Week 4,9
Adam Rippon,26,1.0,8.0,24.0,3,False,1.0,1.0,11.428571428571429,1st Place,1
Adam Rippon,26,2.0,9.25,37.0,4,False,1.0,1.0,13.831775700934578,1st Place,1
Adam Rippon,26,3.0,10.25,41.0,4,False,1.0,1.0,19.431279620853083,1st Place,1
Adam Rippon,26,4.0,9.666666666666666,29.0,3,False,1.0,1.0,33.91812865497076,1st Place,1
Adam Rippon,26,5.0,,0.0,0,True,,1.0,,1st Place,1
Adam Rippon,26,6.0,,0.0,0,True,,1.0,,1st Place,1
Adam Rippon,26,7.0,,0.0,0,True,,1.0,,1st Place,1
Adam Rippon,26,8.0,,0.0,0,True,,1.0,,1st Place,1
Adam Rippon,26,9.0,,0.0,0,True,,1.0,,1st Place,1
Adam Rippon,26,10.0,,0.0,0,True,,1.0,,1st Place,1
Adam Rippon,26,11.0,,0.0,0,True,,1.0,,1st Place,1
Adrian Peterson,32,1.0,6.0,18.0,3,False,5.0,5.0,7.792207792207792,Eliminated Week 4,11
Adrian Peterson,32,2.0,5.0,15.0,3,False,10.0,10.0,6.302521008403361,Eliminated Week 4,11
Adrian Peterson,32,3.0,5.5,22.0,4,False,11.0,11.0,6.811145510835913,Eliminated Week 4,11
Adrian Peterson,32,4.0,7.0,21.0,3,False,6.0,6.0,8.75,Eliminated Week 4,11
Adrian Peterson,32,5.0,0.0,0.0,3,True,11.0,11.0,0.0,Eliminated Week 4,11
Adrian Peterson,32,6.0,0.0,0.0,4,True,10.0,10.0,0.0,Eliminated Week 4,11
Adrian Peterson,32,7.0,0.0,0.0,4,True,9.0,9.0,0.0,Eliminated Week 4,11
Adrian Peterson,32,8.0,0.0,0.0,4,True,8.0,8.0,0.0,Eliminated Week 4,11
Adrian Peterson,32,9.0,0.0,0.0,4,True,7.0,7.0,0.0,Eliminated Week 4,11
Adrian Peterson,32,10.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 4,11
Adrian Peterson,32,11.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 4,11
Aiden Turner,10,1.0,5.0,15.0,3,False,10.0,10.0,7.177033492822966,Eliminated Week 4,9
Aiden Turner,10,2.0,6.333333333333333,19.0,3,False,8.0,8.0,8.636363636363637,Eliminated Week 4,9
Aiden Turner,10,3.0,6.666666666666667,20.0,3,False,7.0,7.0,9.852216748768473,Eliminated Week 4,9
Aiden Turner,10,4.0,5.5,16.5,3,False,8.0,8.0,8.89487870619946,Eliminated Week 4,9
Aiden Turner,10,5.0,0.0,0.0,3,True,9.0,9.0,0.0,Eliminated Week 4,9
Aiden Turner,10,6.0,0.0,0.0,3,True,8.0,8.0,0.0,Eliminated Week 4,9
Aiden Turner,10,7.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 4,9
Aiden Turner,10,8.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 4,9
Aiden Turner,10,9.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 4,9
Aiden Turner,10,10.0,0.0,0.0,3,True,4.0,4.0,0.0,Eliminated Week 4,9
Aiden Turner,10,11.0,,0.0,0,True,,1.0,,Eliminated Week 4,9
Albert Reed,5,1.0,7.0,21.0,3,False,5.0,5.0,8.171206225680933,Eliminated Week 2,11
Albert Reed,5,2.0,7.0,21.0,3,False,5.0,5.0,8.823529411764707,Eliminated Week 2,11
Albert Reed,5,3.0,0.0,0.0,3,True,11.0,11.0,0.0,Eliminated Week 2,11
Albert Reed,5,4.0,0.0,0.0,3,True,10.0,10.0,0.0,Eliminated Week 2,11
Albert Reed,5,5.0,0.0,0.0,3,True,9.0,9.0,0.0,Eliminated Week 2,11
Albert Reed,5,6.0,0.0,0.0,3,True,8.0,8.0,0.0,Eliminated Week 2,11
Albert Reed,5,7.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 2,11
Albert Reed,5,8.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 2,11
Albert Reed,5,9.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 2,11
Albert Reed,5,10.0,0.0,0.0,3,True,4.0,4.0,0.0,Eliminated Week 2,11
Albert Reed,5,11.0,,0.0,0,True,,1.0,,Eliminated Week 2,11
Alek Skarlatos,21,1.0,7.333333333333333,22.0,3,False,5.0,5.0,8.799999999999999,3rd Place,3
Alek Skarlatos,21,2.0,7.5,22.5,3,False,4.0,4.0,8.317929759704251,3rd Place,3
Alek Skarlatos,21,3.0,8.25,33.0,4,False,3.0,3.0,10.819672131147541,3rd Place,3
Alek Skarlatos,21,4.0,8.0,24.0,3,False,6.0,6.0,10.16949152542373,3rd Place,3
Alek Skarlatos,21,5.0,7.25,29.0,4,False,7.0,7.0,9.634551495016613,3rd Place,3
Alek Skarlatos,21,6.0,7.5,30.0,4,False,7.0,7.0,9.584664536741213,3rd Place,3
Alek Skarlatos,21,7.0,8.833333333333334,26.5,3,False,8.0,8.0,11.990950226244344,3rd Place,3
Alek Skarlatos,21,8.0,8.333333333333334,25.0,3,False,6.0,6.0,12.886637793725134,3rd Place,3
Alek Skarlatos,21,9.0,8.5,25.5,3,False,5.0,5.0,15.501519756838904,3rd Place,3
Alek Skarlatos,21,10.0,9.5,28.5,3,False,3.0,3.0,24.050632911392405,3rd Place,3
Alek Skarlatos,21,11.0,9.3333,27.999899999999997,3,False,4.0,4.0,23.728748922668576,3rd Place,3
Alexa PenaVega,21,1.0,7.333333333333333,22.0,3,False,5.0,5.0,8.799999999999999,Eliminated Week 9,6
Alexa PenaVega,21,2.0,7.666666666666667,23.0,3,False,3.0,3.0,8.502772643253234,Eliminated Week 9,6
Alexa PenaVega,21,3.0,9.0,36.0,4,False,1.0,1.0,11.80327868852459,Eliminated Week 9,6
Alexa PenaVega,21,4.0,7.0,21.0,3,False,8.0,8.0,8.898305084745763,Eliminated Week 9,6
Alexa PenaVega,21,5.0,10.0,40.0,4,False,1.0,1.0,13.2890365448505,Eliminated Week 9,6
Alexa PenaVega,21,6.0,7.5,30.0,4,False,7.0,7.0,9.584664536741213,Eliminated Week 9,6
Alexa PenaVega,21,7.0,9.166666666666666,27.5,3,False,5.0,5.0,12.44343891402715,Eliminated Week 9,6
Alexa PenaVega,21,8.0,8.999933333333333,26.9998,3,False,5.0,5.0,13.917465724120795,Eliminated Week 9,6
Alexa PenaVega,21,9.0,10.0,30.0,3,False,1.0,1.0,18.237082066869302,Eliminated Week 9,6
Alexa PenaVega,21,10.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 9,6
Alexa PenaVega,21,11.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 9,6
Alexandra Raisman,16,1.0,7.0,21.0,3,False,2.0,2.0,9.170305676855897,Eliminated Week 10,4
Alexandra Raisman,16,2.0,8.0,24.0,3,False,3.0,3.0,9.836065573770492,Eliminated Week 10,4
Alexandra Raisman,16,3.0,7.666666666666667,23.0,3,False,4.0,4.0,9.787250701703321,Eliminated Week 10,4
Alexandra Raisman,16,4.0,9.0,27.0,3,False,1.0,1.0,12.053571428571429,Eliminated Week 10,4
Alexandra Raisman,16,5.0,8.333333333333334,25.0,3,False,4.0,4.0,11.961722488038278,Eliminated Week 10,4
Alexandra Raisman,16,6.0,8.666666666666666,26.0,3,False,2.0,2.0,13.793103448275861,Eliminated Week 10,4
Alexandra Raisman,16,7.0,10.666666666666666,32.0,3,False,1.0,1.0,17.391304347826086,Eliminated Week 10,4
Alexandra Raisman,16,8.0,9.333333333333334,28.0,3,False,2.0,2.0,18.006430868167204,Eliminated Week 10,4
Alexandra Raisman,16,9.0,9.833333333333334,29.5,3,False,1.0,1.0,20.921985815602838,Eliminated Week 10,4
Alexandra Raisman,16,10.0,9.666666666666666,29.0,3,False,3.0,3.0,24.786345971235875,Eliminated Week 10,4
Alexandra Raisman,16,11.0,,0.0,0,True,,1.0,,Eliminated Week 10,4
Alexis Ren,27,1.0,7.333333333333333,22.0,3,False,3.0,3.0,8.627450980392156,4th Place,4
Alexis Ren,27,2.0,8.166666666666666,24.5,3,False,4.0,4.0,9.057301293900185,4th Place,4
Alexis Ren,27,3.0,8.666666666666666,26.0,3,False,5.0,5.0,9.59409594095941,4th Place,4
Alexis Ren,27,4.0,8.333333333333334,25.0,3,False,4.0,4.0,10.775862068965516,4th Place,4
Alexis Ren,27,5.0,9.666666666666666,29.0,3,False,1.0,1.0,13.063063063063062,4th Place,4
Alexis Ren,27,6.0,9.0,27.0,3,False,4.0,4.0,11.790393013100436,4th Place,4
