celebrity_name,season,week,weekly_avg_score,weekly_total_score,num_judges,was_eliminated,weekly_rank_by_avg,weekly_rank_by_total,weekly_score_percentage,results,placement,percentage_rank
Aaron Carter,9,1.0,10.666633333333332,31.9999,3,False,2.0,2.0,7.881779829674204,Eliminated Week 8,5,2.0
Aaron Carter,9,2.0,9.0,27.0,3,False,1.0,1.0,9.183673469387756,Eliminated Week 8,5,1.0
Aaron Carter,9,3.0,7.0,21.0,3,False,4.0,4.0,8.13953488372093,Eliminated Week 8,5,4.0
Aaron Carter,9,4.0,6.0,18.0,3,False,8.0,8.0,7.43801652892562,Eliminated Week 8,5,6.0
Aaron Carter,9,5.0,8.0,24.0,3,False,4.0,4.0,9.917355371900827,Eliminated Week 8,5,4.0
Aaron Carter,9,6.0,10.999933333333331,32.9998,3,False,3.0,3.0,12.692274704027822,Eliminated Week 8,5,3.0
Aaron Carter,9,7.0,8.833333333333334,26.5,3,False,2.0,2.0,15.0997150997151,Eliminated Week 8,5,2.0
Aaron Carter,9,8.0,8.333333333333334,25.0,3,False,4.0,4.0,19.083969465648856,Eliminated Week 8,5,4.0
Adam Carolla,6,1.0,5.0,15.0,3,False,11.0,11.0,6.172839506172839,Eliminated Week 4,9,7.0
Adam Carolla,6,2.0,6.333333333333333,19.0,3,False,9.0,9.0,7.392996108949417,Eliminated Week 4,9,6.0
Adam Carolla,6,3.0,7.0,21.0,3,False,6.0,6.0,9.210526315789473,Eliminated Week 4,9,6.0
Adam Carolla,6,4.0,6.333333333333333,19.0,3,False,9.0,9.0,8.444444444444445,Eliminated Week 4,9,6.0
Adam Rippon,26,1.0,8.0,24.0,3,False,1.0,1.0,11.428571428571429,1st Place,1,1.0
Adam Rippon,26,2.0,9.25,37.0,4,False,1.0,1.0,13.831775700934578,1st Place,1,1.0
Adam Rippon,26,3.0,10.25,41.0,4,False,1.0,1.0,19.431279620853083,1st Place,1,1.0
