celebrity_name,season,week,weekly_avg_score,weekly_total_score,num_judges,was_eliminated,weekly_rank_by_avg,weekly_rank_by_total,weekly_score_percentage,results,placement,has_tie
Evander Holyfield,1,1.0,6.0,18.0,3,False,4.0,4.0,16.51376146788991,Eliminated Week 3,5,True
Joey McIntyre,1,1.0,6.666666666666667,20.0,3,False,1.0,1.0,18.34862385321101,3rd Place,3,True
John O'Hurley,1,1.0,6.666666666666667,20.0,3,False,1.0,1.0,18.34862385321101,2nd Place,2,True
Kelly Monaco,1,1.0,4.333333333333333,13.0,3,False,6.0,6.0,11.926605504587156,1st Place,1,True
Rachel Hunter,1,1.0,6.666666666666667,20.0,3,False,1.0,1.0,18.34862385321101,Eliminated Week 4,4,True
Trista Sutter,1,1.0,6.0,18.0,3,False,4.0,4.0,16.51376146788991,Eliminated Week 2,6,True
Evander Holyfield,1,2.0,4.666666666666667,14.0,3,False,6.0,6.0,11.570247933884298,Eliminated Week 3,5,False
Joey McIntyre,1,2.0,7.0,21.0,3,False,3.0,3.0,17.355371900826448,3rd Place,3,False
John O'Hurley,1,2.0,8.666666666666666,26.0,3,False,1.0,1.0,21.487603305785125,2nd Place,2,False
Kelly Monaco,1,2.0,5.666666666666667,17.0,3,False,5.0,5.0,14.049586776859504,1st Place,1,False
Rachel Hunter,1,2.0,8.0,24.0,3,False,2.0,2.0,19.83471074380165,Eliminated Week 4,4,False
Trista Sutter,1,2.0,6.333333333333333,19.0,3,False,4.0,4.0,15.702479338842975,Eliminated Week 2,6,False
Evander Holyfield,1,3.0,4.333333333333333,13.0,3,False,5.0,5.0,12.264150943396226,Eliminated Week 3,5,False
Joey McIntyre,1,3.0,7.333333333333333,22.0,3,False,3.0,3.0,20.75471698113208,3rd Place,3,False
John O'Hurley,1,3.0,8.0,24.0,3,False,2.0,2.0,22.641509433962263,2nd Place,2,False
Kelly Monaco,1,3.0,7.0,21.0,3,False,4.0,4.0,19.81132075471698,1st Place,1,False
Rachel Hunter,1,3.0,8.666666666666666,26.0,3,False,1.0,1.0,24.52830188679245,Eliminated Week 4,4,False
Joey McIntyre,1,4.0,6.666666666666667,20.0,3,False,4.0,4.0,21.73913043478261,3rd Place,3,False
John O'Hurley,1,4.0,7.0,21.0,3,False,3.0,3.0,22.82608695652174,2nd Place,2,False
Kelly Monaco,1,4.0,8.666666666666666,26.0,3,False,1.0,1.0,28.26086956521739,1st Place,1,False
Rachel Hunter,1,4.0,8.333333333333334,25.0,3,False,2.0,2.0,27.173913043478255,Eliminated Week 4,4,False
Joey McIntyre,1,5.0,7.5,22.5,3,False,3.0,3.0,30.82191780821918,3rd Place,3,False
John O'Hurley,1,5.0,9.0,27.0,3,False,1.0,1.0,36.98630136986301,2nd Place,2,False
Kelly Monaco,1,5.0,7.833333333333333,23.5,3,False,2.0,2.0,32.19178082191781,1st Place,1,False
John O'Hurley,1,6.0,9.0,27.0,3,False,2.0,2.0,49.54128440366973,2nd Place,2,False
Kelly Monaco,1,6.0,9.166666666666666,27.5,3,False,1.0,1.0,50.45871559633027,1st Place,1,False
Drew Lachey,2,1.0,8.0,24.0,3,False,1.0,1.0,12.307692307692308,1st Place,1,True
George Hamilton,2,1.0,6.0,18.0,3,False,8.0,8.0,9.230769230769232,Eliminated Week 6,5,True
Giselle Fernandez,2,1.0,7.666666666666667,23.0,3,False,2.0,2.0,11.794871794871794,Eliminated Week 3,8,True
Jerry Rice,2,1.0,7.0,21.0,3,False,5.0,5.0,10.76923076923077,2nd Place,2,True
Kenny Mayne,2,1.0,4.333333333333333,13.0,3,False,9.0,9.0,6.666666666666667,Eliminated Week 1,10,True
Lisa Rinna,2,1.0,6.333333333333333,19.0,3,False,7.0,7.0,9.743589743589745,Eliminated Week 7,4,True
Master P,2,1.0,4.0,12.0,3,False,10.0,10.0,6.153846153846154,Eliminated Week 4,7,True
Stacy Keibler,2,1.0,7.333333333333333,22.0,3,False,4.0,4.0,11.282051282051285,3rd Place,3,True
Tatum O'Neal,2,1.0,7.666666666666667,23.0,3,False,2.0,2.0,11.794871794871794,Eliminated Week 2,9,True
Tia Carrere,2,1.0,6.666666666666667,20.0,3,False,6.0,6.0,10.256410256410255,Eliminated Week 5,6,True
Drew Lachey,2,2.0,9.0,27.0,3,False,2.0,2.0,13.5,1st Place,1,True
George Hamilton,2,2.0,7.333333333333333,22.0,3,False,5.0,5.0,11.0,Eliminated Week 6,5,True
Giselle Fernandez,2,2.0,8.0,24.0,3,False,3.0,3.0,12.0,Eliminated Week 3,8,True
Jerry Rice,2,2.0,7.666666666666667,23.0,3,False,4.0,4.0,11.5,2nd Place,2,True
Lisa Rinna,2,2.0,6.666666666666667,20.0,3,False,7.0,7.0,10.0,Eliminated Week 7,4,True
Master P,2,2.0,5.333333333333333,16.0,3,False,9.0,9.0,8.0,Eliminated Week 4,7,True
Stacy Keibler,2,2.0,9.666666666666666,29.0,3,False,1.0,1.0,14.499999999999998,3rd Place,3,True
Tatum O'Neal,2,2.0,5.666666666666667,17.0,3,False,8.0,8.0,8.5,Eliminated Week 2,9,True
Tia Carrere,2,2.0,7.333333333333333,22.0,3,False,5.0,5.0,11.0,Eliminated Week 5,6,True
Drew Lachey,2,3.0,9.0,27.0,3,False,1.0,1.0,14.835164835164836,1st Place,1,True
George Hamilton,2,3.0,7.333333333333333,22.0,3,False,5.0,5.0,12.087912087912088,Eliminated Week 6,5,True
Giselle Fernandez,2,3.0,7.333333333333333,22.0,3,False,5.0,5.0,12.087912087912088,Eliminated Week 3,8,True
Jerry Rice,2,3.0,6.333333333333333,19.0,3,False,7.0,7.0,10.43956043956044,2nd Place,2,True
Lisa Rinna,2,3.0,8.333333333333334,25.0,3,False,4.0,4.0,13.736263736263735,Eliminated Week 7,4,True
Master P,2,3.0,4.666666666666667,14.0,3,False,8.0,8.0,7.6923076923076925,Eliminated Week 4,7,True
Stacy Keibler,2,3.0,9.0,27.0,3,False,1.0,1.0,14.835164835164836,3rd Place,3,True
Tia Carrere,2,3.0,8.666666666666666,26.0,3,False,3.0,3.0,14.285714285714285,Eliminated Week 5,6,True
Drew Lachey,2,4.0,9.333333333333334,28.0,3,False,1.0,1.0,17.72151898734177,1st Place,1,True
George Hamilton,2,4.0,7.0,21.0,3,False,6.0,6.0,13.291139240506327,Eliminated Week 6,5,True
