season,week,celebrity_name,predicted_fan_votes,predicted_fan_percentage
9.0,1.0,Aaron Carter,77108.86907409257,7.879757475036801
9.0,1.0,Ashley Hamiliton,48379.37633773139,4.684518267678266
9.0,1.0,Chuck Liddell,55115.36971420556,5.4234934555246275
9.0,1.0,Debi Mazar,55014.78638069575,5.412473625278403
9.0,1.0,Donny Osmond,72742.92888203257,7.387886294638785
9.0,1.0,Joanna Krupa,81436.45236709018,8.369039271490442
9.0,1.0,Kathy Ireland,50598.3302678534,4.92713831171126
9.0,1.0,Kelly Osbourne,74912.17174050739,7.632027764818987
9.0,1.0,Louie Vito,66233.82681382116,6.658153141021845
9.0,1.0,Macy Gray,48443.34125453825,4.691508784772026
9.0,1.0,Mark Dacascos,70575.66629629469,7.144420308638062
9.0,1.0,Melissa Joan Hart,59375.21846056983,5.8945758330643425
9.0,1.0,Michael Irvin,48329.6284305574,4.679128546226555
9.0,1.0,Mya,74740.49705028399,7.61268945666066
9.0,1.0,Natalie Coughlin,66347.70194746726,6.670858776784295
9.0,1.0,Tom DeLay,50645.83498225859,4.932330686654647
9.0,2.0,Aaron Carter,89781.61473599538,9.187772498891178
9.0,2.0,Chuck Liddell,65411.94354085623,6.474105989688891
9.0,2.0,Debi Mazar,71499.88446432241,7.146749322792875
9.0,2.0,Donny Osmond,83620.70967537888,8.49686223176025
9.0,2.0,Joanna Krupa,68482.29664906401,6.812848564275969
9.0,2.0,Kathy Ireland,62311.14054756411,6.1331695970618005
9.0,2.0,Kelly Osbourne,65262.637895919135,6.45766275692867
9.0,2.0,Louie Vito,65199.702759103544,6.450734990457699
9.0,2.0,Mark Dacascos,71370.56381220427,7.132425915581359
9.0,2.0,Melissa Joan Hart,65334.52479697245,6.465577912393197
9.0,2.0,Michael Irvin,68286.10724755362,6.791136121221763
9.0,2.0,Mya,89857.01720874688,9.196257705988536
9.0,2.0,Natalie Coughlin,71396.16967391453,7.135274451577261
9.0,2.0,Tom DeLay,62185.68699240456,6.119421941380551
9.0,3.0,Aaron Carter,80987.70894981825,8.134353659775918
9.0,3.0,Chuck Liddell,67001.68553171348,6.593702509768265
9.0,3.0,Debi Mazar,66932.79793051607,6.586131994854935
9.0,3.0,Donny Osmond,80852.14766638917,8.11932413332094
9.0,3.0,Joanna Krupa,87970.02820155915,8.909974974236137
9.0,3.0,Kelly Osbourne,77551.88380652972,7.754145739585005
9.0,3.0,Louie Vito,77611.12158589017,7.7607337707754125
9.0,3.0,Mark Dacascos,70579.40252174642,6.985945961817471
9.0,3.0,Melissa Joan Hart,73974.55538697897,7.359427756432409
9.0,3.0,Michael Irvin,56226.429829864086,5.42162559946899
9.0,3.0,Mya,101833.75906680724,10.460227635435125
9.0,3.0,Natalie Coughlin,98509.38375631277,10.08738081592657
9.0,3.0,Tom DeLay,59969.0957658745,5.827025448602819
9.0,4.0,Aaron Carter,75832.59140334187,7.435360043512182
9.0,4.0,Chuck Liddell,72013.10212493008,7.02150904524372
9.0,4.0,Donny Osmond,98448.98355036291,9.91062519944882
9.0,4.0,Joanna Krupa,105944.50352490034,10.738496728959271
9.0,4.0,Kelly Osbourne,94829.88877251762,9.512080742942183
9.0,4.0,Louie Vito,68295.71851380159,6.620111302829068
9.0,4.0,Mark Dacascos,90955.03795553434,9.086321264851204
9.0,4.0,Melissa Joan Hart,113489.54181736779,11.574910326869169
9.0,4.0,Michael Irvin,68348.93123803232,6.625843184420541
9.0,4.0,Mya,113364.91378059772,11.561071548153773
9.0,4.0,Natalie Coughlin,98476.78731861341,9.913670612770071
9.0,5.0,Aaron Carter,99358.25786163556,9.927514014296355
9.0,5.0,Donny Osmond,118087.33561926296,11.98604599243512
9.0,5.0,Joanna Krupa,99207.99478529258,9.911070336428413
