season,week,n_players,avg_std_fan_percentage,avg_ci_width,solution_space_compactness
9.0,1.0,16,0.2892623273505879,1.134866722837828,2.5689616737541447
9.0,2.0,14,0.29238451502232193,1.1329319550386827,2.548520549907817
9.0,3.0,13,0.2887601170302403,1.1288529864484678,2.572280324532914
9.0,4.0,11,0.28625022259564215,1.1186385183370047,2.588995271717631
9.0,5.0,10,0.2847702688971383,1.095441011450084,2.59895340371876
9.0,6.0,9,0.2832656369975284,1.1082038658848885,2.609156426946903
9.0,7.0,7,0.27766172505266956,1.098318027198426,2.6478722456201713
9.0,8.0,5,0.26657085852137746,1.0410134172298364,2.7279855360943333
6.0,1.0,12,0.28708954414749427,1.1108127272588406,2.5833815847502355
6.0,2.0,12,0.28731244610471723,1.1338295757595436,2.581894824339394
6.0,3.0,10,0.2818168697686543,1.0936461216791205,2.619056618964761
6.0,4.0,9,0.28555423186746814,1.115052004625013,2.593668846938616
26.0,1.0,10,0.2836996263403144,1.1040517314457072,2.6062053005834067
26.0,2.0,8,0.2767481155356531,1.0824194700009366,2.654293303042059
26.0,3.0,6,0.27320607151018467,1.0621279941182387,2.6794848110414793
26.0,4.0,3,0.2429503233898961,0.9479452738001868,2.9158742004249754
10.0,1.0,11,0.28484772000608877,1.1081262344625837,2.5984303609338744
10.0,2.0,11,0.2853428318238319,1.111800517092882,2.5950917401706657
10.0,3.0,10,0.28346460743537893,1.1018908516844999,2.607802599275134
10.0,4.0,9,0.28397894734207285,1.1076272147513455,2.604309446968551
5.0,1.0,12,0.29002741131891757,1.1387177137344606,2.563922357709161
5.0,2.0,11,0.2907177212656773,1.1360988114262047,2.559392486116665
21.0,1.0,13,0.285026773347293,1.110323801472287,2.597221983568408
21.0,2.0,13,0.288566465974018,1.1239549788754428,2.5735622797332858
21.0,3.0,10,0.2859266775949351,1.1131398494490417,2.591165778515032
21.0,4.0,10,0.28315034539151507,1.1016461944446054,2.609941533468197
21.0,5.0,9,0.2815707129480845,1.0861937038288227,2.620746210509236
21.0,6.0,9,0.28167508170203076,1.1116032616095475,2.6200295694982993
21.0,7.0,8,0.27542679758834576,1.0728532863865918,2.663635111888035
21.0,8.0,7,0.28112401617223787,1.1159840369682164,2.6238178586680276
21.0,9.0,6,0.27209296047855547,1.0656180286839874,2.687500453418635
21.0,10.0,4,0.25642700522459816,1.0038922667154289,2.805623550802112
21.0,11.0,4,0.6929506674199497,2.512078681364682,1.2611125018076266
16.0,1.0,12,0.2889274217078646,1.1327728680937565,2.571173808235951
16.0,2.0,12,0.2878756439123877,1.1068775384173712,2.578145897260508
16.0,3.0,11,0.28865480573520513,1.1198728108825895,2.5729773188017933
16.0,4.0,10,0.28329727708447616,1.1078232405217225,2.608941048594005
16.0,5.0,9,0.28449643952259973,1.1152206426484828,2.600804317568258
16.0,6.0,8,0.2815638978024114,1.1122113312549748,2.6207930198832354
16.0,7.0,7,0.2770415921769277,1.0748551143190443,2.652227289372223
16.0,8.0,6,0.27523011900327043,1.075580853199738,2.6650312684288657
16.0,9.0,5,0.27097450242361915,1.0611754826441178,2.695603049446484
16.0,10.0,4,0.2594806052803347,1.0144531760665316,2.7817912435642183
27.0,1.0,13,0.2883524154687689,1.1211263855121387,2.574980765326074
27.0,2.0,12,0.2861054495734793,1.1137686775799216,2.589966034161585
27.0,3.0,11,0.2836287333569592,1.114439841353311,2.6066869164086284
27.0,4.0,10,0.28185146705947534,1.1028844738581078,2.6188193218182523
27.0,5.0,9,0.2849983256046441,1.1017081126199206,2.5974138937604185
27.0,6.0,9,0.28336763858423114,1.1022553399473287,2.6084622157806003
27.0,7.0,8,0.279785789686781,1.0857014408267398,2.633063235000776
27.0,8.0,6,0.27401699532039475,1.0675185616424196,2.6736752942025226
27.0,9.0,4,0.25416473829407854,0.9990773446337142,2.8235447854485614
19.0,1.0,13,0.28745256071945535,1.135811667677278,2.580961132746455
19.0,2.0,12,0.29144488635038296,1.1531875856549443,2.554638047065707
19.0,3.0,11,0.28692220449745015,1.109422875134904,2.5844988692205955
19.0,4.0,10,0.2822340258483881,1.1111119900235729,2.616198277430819
19.0,5.0,9,0.28571537679201753,1.1188128018934504,2.5925852588947014
19.0,6.0,9,0.27917195087059027,1.0951661918018996,2.6373258826344346
19.0,7.0,8,0.27777401741150454,1.082367076134471,2.647085172378895
19.0,8.0,7,0.2774444391267902,1.0760042711964064,2.6493965636729984
19.0,9.0,6,0.27276145501999666,1.0712051162975669,2.682680804393671
19.0,10.0,5,0.26110578660640293,1.01201656256285,2.7692716015375773
19.0,11.0,4,0.25814614246295386,1.0218559146364088,2.792156277666564
17.0,1.0,12,0.28282419154564814,1.1073122148814603,2.6121651193528597
17.0,2.0,12,0.28502565275841146,1.1100199286874914,2.59722954259222
17.0,3.0,11,0.28626903824657607,1.1167777515395765,2.588869158499954
17.0,4.0,10,0.28486017953093806,1.112688045987758,2.5983462389348393
17.0,5.0,9,0.28556002486632404,1.1147553615439338,2.5936298773367548
17.0,6.0,8,0.2782918876366257,1.0854313233239825,2.643461392332489
17.0,7.0,8,0.27791359367416035,1.0795350075120278,2.6461075143600334
17.0,8.0,7,0.27482420407384744,1.0681834265552472,2.6679173573406194
17.0,9.0,6,0.27084779262566716,1.0668504706572184,2.6965240723689505
17.0,10.0,5,0.26630600943131866,1.0276119898346003,2.7299579429572454
17.0,11.0,4,0.26364273066744526,1.015707941004627,2.749951850170517
