celebrity_name,judge_percentage,eliminated_this_week,mean_fan_percentage,std_fan_percentage,fan_percentage_ci_low,fan_percentage_ci_high,fan_percentage_ci_width,mode_fan_percentage,mean_fan_votes,fan_votes_ci_low,fan_votes_ci_high,fan_votes_ci_width,combined_percentage_mean,certainty_index,season,week
Aaron Carter,7.881779829674204,False,7.875411677482878,0.28859231838035054,7.3051088145919225,8.43908508908592,1.133976274493997,7.9,77070.71529900137,72021.31364543123,82035.49424443486,10.014180599003623,15.757191507157081,2.573391064877431,9.0,1.0
Ashley Hamiliton,4.679796767671991,False,4.687966153354055,0.2932579803659948,4.140089860672526,5.269557884948862,1.1294680242763357,4.7,48410.51876787817,43376.03962243531,53725.85252692011,10.349812904484804,9.367762921026046,2.5428600306326308,9.0,1.0
Chuck Liddell,5.418740566465287,False,5.409888416764306,0.29113616927704966,4.777560793085219,5.942287684801628,1.164726891716409,5.4,54991.88308895046,49239.08946074341,59804.481077019904,10.565391616276495,10.828628983229592,2.5566543790832084,9.0,1.0
Debi Mazar,5.418740566465287,False,5.423969657975733,0.2897611665110227,4.843117348548386,5.980804524968787,1.1376871764204006,5.4,55119.6632109558,49828.26827259292,60166.48927251891,10.338220999925994,10.84271022444102,2.565673766197843,9.0,1.0
Donny Osmond,7.389167050904632,False,7.390514432528584,0.2840364773239693,6.852111216714148,7.942553681873786,1.0904424651596383,7.5,72766.9420954492,67956.46762804092,77665.6676788665,9.709200050825588,14.779681483433215,2.603919312478252,9.0,1.0
Joanna Krupa,8.374392608443776,False,8.380990297468074,0.28661358384995916,7.799368608701492,8.945576342855409,1.1462077341539167,8.4,81542.29427981326,76383.95779523191,86519.038152182,10.135080356950086,16.75538290591185,2.5865619879204504,9.0,1.0
Kathy Ireland,4.926103157056776,False,4.922424614105192,0.2921273664043478,4.369944674326331,5.517026585329012,1.1470819110026813,4.9,50555.51270472005,45497.04195936471,55962.82356589194,10.465781606527226,9.848527771161969,2.550191814383176,9.0,1.0
Kelly Osbourne,7.635448809650482,False,7.630541248752014,0.28367401338096315,7.072303392079934,8.194373147345585,1.1220697552656516,7.7,74899.34014330586,69936.09100018983,79901.18206806306,9.965091067873233,15.265990058402496,2.606379283256449,9.0,1.0
Louie Vito,6.6502232521113385,False,6.644352137401669,0.28965023143411595,6.06616416150523,7.1989609396221965,1.1327967781169663,6.7,66110.88094220462,60916.17154216567,71069.3535197171,10.15318197755143,13.294575389513007,2.566404224423219,9.0,1.0
Macy Gray,4.679796767671991,False,4.690731629612807,0.27898598932770935,4.160279783473813,5.259323243764031,1.0990434602902184,4.7,48436.49957406217,43559.997403268084,53619.042145463995,10.05904474219591,9.370528397284797,2.6386199705533167,9.0,1.0
Mark Dacascos,7.14283603088091,False,7.139556936887198,0.28550681044510073,6.5583479356082695,7.695304428671514,1.136956493063245,7.2,70533.01687923621,65325.123339894235,75478.30782583398,10.153184485939747,14.282392967768107,2.5939878956883127,9.0,1.0
Melissa Joan Hart,5.911353345234858,False,5.913254910650326,0.28062841381092624,5.378774456450969,6.4665101057907775,1.087735649339808,5.8,59544.31413314855,54721.0567777689,64525.52613887611,9.804469361107207,11.824608255885185,2.627234236109186,9.0,1.0
Michael Irvin,4.67982139831093,False,4.679085625247387,0.2997909927022722,4.10586631675561,5.296684489881715,1.1908181731261047,4.7,48328.84705852343,43073.630447434574,53965.15163083974,10.891521183405166,9.358907023558316,2.5013069785309257,9.0,1.0
Mya,7.635473440289418,False,7.632379854909641,0.2866929688117047,7.063001689691026,8.175967877774445,1.1129661880834192,7.7,74915.579145826,69834.79242725136,79733.9606828338,9.899168255582437,15.26785329519906,2.586030987511794,9.0,1.0
Natalie Coughlin,6.6502232521113385,False,6.660083073475001,0.2986407916951583,6.034741357538446,7.214823460614146,1.1800821030756996,6.8,66251.423604723,60644.0715806273,71222.81849546861,10.578746914841314,13.310306325586339,2.508524016690953,9.0,1.0
Tom DeLay,4.926103157056776,False,4.918849333385138,0.29910196388876165,4.3478929053319515,5.493701393152707,1.145808487820755,4.9,50522.569072201826,45295.63986503143,55753.36895345829,10.45772908842686,9.844952490441914,2.5056253551253427,9.0,1.0
Aaron Carter,9.183673469387756,False,9.171933014414288,0.3030172121073883,8.582186535815257,9.769391066540058,1.1872045307248005,9.1,89640.44435992413,84382.68762806478,94963.14232150993,10.58045469344515,18.355606483802042,2.4812836026803224,9.0,2.0
Chuck Liddell,6.462585034013606,False,6.45476679887031,0.2936360391972896,5.884336486093939,7.058221389766833,1.173884903672894,6.3,65236.31569696246,60052.334906258875,70701.68551967059,10.649350613411713,12.917351832883917,2.540417798226046,9.0,2.0
