celebrity_name,judge_rank,was_eliminated,mean_fan_rank,std_fan_rank,fan_rank_ci_low,fan_rank_ci_high,fan_rank_ci_width,mode_fan_rank,mean_fan_votes,fan_votes_ci_low,fan_votes_ci_high,fan_votes_ci_width,certainty_index,season,week
Evander Holyfield,4.0,False,4.501614961919174,0.3016734722840187,3.922219217889323,5.09675840191788,1.1745391840285566,4.0,1267076.8057113285,1033323.6236178019,1491918.6068770147,458.5949832592128,2.4895843738789685,1.0,1.0
Joey McIntyre,1.0,False,1.9997312051768512,0.3010730552602894,1.410755961050307,2.5930621657594184,1.1823062047091113,2.0,2268558.1514618667,2059883.0165822033,2479437.9420898906,419.55492550768724,2.4933113478566082,1.0,1.0
John O'Hurley,1.0,False,1.9940542009972109,0.2946115958610222,1.4204086434952374,2.5701306990843285,1.149722055589091,2.0,2270859.949175359,2060596.9162781518,2478411.6191159957,417.8147028378439,2.5341373910162255,1.0,1.0
Kelly Monaco,6.0,False,5.881615884062066,0.17410814363333932,5.4152465880817005,6.0,0.5847534119182995,6.0,658742.192256989,581279.4036428209,858007.7337669572,276.7283301241363,3.6481951493482425,1.0,1.0
Rachel Hunter,1.0,False,1.9983715695048763,0.3005434647310772,1.403936389047668,2.5857906631072667,1.1818542740595988,2.0,2269107.5553399418,2060466.5532819512,2480919.5316723743,420.45297839042314,2.496607954074085,1.0,1.0
Trista Sutter,4.0,False,4.504852786244772,0.29883880336120894,3.9314919665069183,5.093400924177769,1.1619089576708506,4.0,1265655.3460545146,1039093.2805271936,1481949.8118516784,442.8565313244849,2.5072786087324324,1.0,1.0
Evander Holyfield,6.0,False,5.883707863574971,0.17287189071767423,5.42449976819883,6.0,0.5755002318011702,6.0,661571.9044759917,585114.0796330362,862362.1337102974,277.24805407726126,3.664723388583274,1.0,2.0
Joey McIntyre,3.0,False,2.9982843499154246,0.2964104173375362,2.4235054140617533,3.5656133624741773,1.142107948412424,3.0,1889114.484523637,1684531.9524098048,2095766.9480697878,411.23499565998304,2.5226380444702547,1.0,2.0
John O'Hurley,1.0,False,1.1213731519758754,0.17634511629966573,1.0,1.5897895121000103,0.5897895121000103,1.0,2621172.4798417655,2438826.969112338,2776730.3612149577,337.90339210261965,3.618663551541148,1.0,2.0
Kelly Monaco,5.0,False,4.999563242384418,0.29803052014528286,4.403674934577883,5.5817565393328,1.178081604754917,5.0,1060649.9660266018,821750.5542182603,1289108.7628234113,467.35820860515093,2.512370156024708,1.0,2.0
Rachel Hunter,2.0,False,1.9975879555049134,0.2981896266759043,1.4130978055233883,2.5777550976138417,1.1646572920904534,2.0,2282442.1950437147,2078240.9676893058,2485570.208316006,407.3292406267005,2.5113662762840456,1.0,2.0
Trista Sutter,4.0,False,3.9965614381625345,0.2989003748039066,3.4120102775019236,4.5719050157389045,1.1598947382369809,4.0,1485048.9700882884,1266724.1193394293,1700168.9630411516,433.44484370172233,2.5068916029261312,1.0,2.0
Evander Holyfield,5.0,False,4.8779724236218085,0.17653689453480745,4.407606158003833,5.0,0.5923938419961674,5.0,905777.75985473,793980.6388080945,1177725.9184914327,383.74527968333814,3.6161540096926594,1.0,3.0
Joey McIntyre,3.0,False,3.001678516126689,0.30033699389928353,2.417870233700849,3.5840926161341096,1.1662223824332605,3.0,2022138.8214913919,1735116.2833258589,2306565.44652992,571.4491632040613,2.4978955610871654,1.0,3.0
John O'Hurley,2.0,False,2.001183335256319,0.2980752365519008,1.4163376133119654,2.579083749828156,1.1627461365161904,2.0,2574686.145249505,2299530.9206560655,2853305.7887148317,553.7748680587663,2.512087937601767,1.0,3.0
Kelly Monaco,4.0,False,4.002581972254103,0.2974632259782756,3.4280401602304322,4.591674101519988,1.163633941289556,4.0,1444179.7453441455,1125939.9670227868,1733444.6605971286,607.5046935743417,2.5159560297401136,1.0,3.0
Rachel Hunter,1.0,False,1.1136626164951609,0.16976468643885803,1.0,1.576045434895816,0.5760454348958159,1.0,3053217.5280602286,2815265.8940759925,3269968.4858732917,454.7025917972992,3.7069344145852434,1.0,3.0
Joey McIntyre,4.0,False,3.88174422225797,0.17355376322498747,3.425083844349686,4.0,0.574916155650314,4.0,1312990.309255534,1144744.5689145077,1688872.5066401472,544.1279377256394,3.655588532984422,1.0,4.0
John O'Hurley,3.0,False,3.0068334985738083,0.29832121126515804,2.4174079041239707,3.5844587515591453,1.1670508474351746,3.0,2094617.9274512162,1658735.9607133567,2504820.3782863147,846.0844175729579,2.5105366516228806,1.0,4.0
Kelly Monaco,1.0,False,1.1199708920741278,0.17410754085355004,1.0,1.5780308843048885,0.5780308843048885,1.0,3652853.150094374,3302248.7117574485,3971447.237061462,669.1985253040134,3.6482031719597208,1.0,4.0
Rachel Hunter,2.0,False,2.000994061599604,0.2985098680252949,1.419817357292434,2.591941445086119,1.172124087793685,2.0,2939538.6131988764,2547697.3589166338,3317126.5151459165,769.4291562292827,2.5093481497841514,1.0,4.0
Joey McIntyre,3.0,False,2.8789605529718303,0.17657007989897888,2.4062136704907418,3.0,0.5937863295092582,3.0,2097708.4803850544,1813174.8450016566,2651640.109036165,838.4652640345082,3.6157201110303188,1.0,5.0
John O'Hurley,1.0,False,1.1176345225415822,0.1732814453640932,1.0,1.586539756272958,0.586539756272958,1.0,4545662.863760228,4023186.3674673056,5026812.637927337,1003.626270460031,3.659231231991249,1.0,5.0
Kelly Monaco,2.0,False,1.9929636874758945,0.29696905951871677,1.4133902831083764,2.5816125859885792,1.1682223028802028,2.0,3356628.6558547164,2737837.0581378406,3899781.01640253,1161.9439582646894,2.5190880145984043,1.0,5.0
John O'Hurley,2.0,False,1.8789058807867947,0.17482844626883476,1.4127435330659823,2.0,0.5872564669340177,2.0,3964490.2929598656,3634413.516063276,4818134.767336153,1183.7212512728772,3.6386335314860707,1.0,6.0
Kelly Monaco,1.0,False,1.1216540540492868,0.17471679778191523,1.0,1.595365994216312,0.5953659942163121,1.0,6035509.707040134,5181865.2326638475,6365586.483936722,1183.721251272875,3.6401123195744765,1.0,6.0
Drew Lachey,1.0,False,1.1238801726609926,0.17777285832085252,1.0,1.5877007218824764,0.5877007218824764,1.0,1684498.9196080654,1613027.857386621,1743014.1450008412,129.9862876142203,3.600063757290896,2.0,1.0
George Hamilton,8.0,False,8.000634106924448,0.30265825996064594,7.404469847979557,8.58829301261761,1.1838231646380528,8.0,607841.4451056342,511757.4018100045,701747.0541200244,189.98965231001995,2.4834955579893867,2.0,1.0
Giselle Fernandez,2.0,False,2.5052137955771805,0.30141389324100204,1.9122315803404035,3.0869109556356062,1.1746793752952027,3.0,1476002.3157845498,1390192.3044938722,1563054.006424778,172.8617019309057,2.4911942930675224,2.0,1.0
Jerry Rice,5.0,False,4.999756279033846,0.30017790479247086,4.40865290614024,5.581187430383448,1.1725345242432077,5.0,1092356.8919546346,1006574.64132042,1178245.0974286394,171.67045610821947,2.4988885893602553,2.0,1.0
Kenny Mayne,9.0,False,9.000298246355639,0.3018300912506113,8.403181795138268,9.587181574911245,1.1839997797729769,9.0,434615.08701604547,331915.5268453947,534183.2320772609,202.26770523186616,2.4886140231253244,2.0,1.0
Lisa Rinna,7.0,False,6.9936934407532405,0.2989642286069794,6.394600372105861,7.580142196791509,1.1855418246856475,7.0,774719.3846894708,683905.2188680621,865191.6103292648,181.28639146120264,2.5064903775749334,2.0,1.0
Master P,10.0,False,9.882354666436612,0.1714025545746706,9.424806401736696,10.0,0.5751935982633043,10.0,271355.26263912657,243463.10594629034,356164.02526364865,112.70091931735831,3.6845636975199194,2.0,1.0
Stacy Keibler,4.0,False,4.0015744893516185,0.29858917327540185,3.4266451140843524,4.589783147343009,1.1631380332586563,4.0,1247253.2734456838,1161720.531956808,1330190.2928058326,168.46976084902462,2.50884887761128,2.0,1.0
Tatum O'Neal,2.0,False,2.501547492247113,0.3008394113730984,1.903684953688569,3.09229261961493,1.1886076659263611,3.0,1476547.046548312,1390632.5378349365,1564023.879593018,173.39134175808147,2.494764665416613,2.0,1.0
Tia Carrere,6.0,False,5.999129963019043,0.299492207837758,5.410841170213623,6.580432184384628,1.1695910141710044,6.0,934810.373208477,845737.7369306139,1023663.4054114524,177.92566848083854,2.5031777350864393,2.0,1.0
Drew Lachey,2.0,False,2.0054185224340686,0.2970329061077888,1.4300003703537192,2.5905529806705316,1.1605526103168124,2.0,1686753.141965338,1585683.2518266034,1789124.4282027963,203.44117637619283,2.5186829217841056,2.0,2.0
George Hamilton,5.0,False,5.498902469322195,0.30121202486447013,4.902663192231385,6.091552978659023,1.1888897864276382,5.0,1029955.2830124359,921011.2807189536,1138836.5752039652,217.8252944850116,2.492447728449318,2.0,2.0
