celebrity_name,judge_rank,was_eliminated,mean_fan_rank,std_fan_rank,fan_rank_ci_low,fan_rank_ci_high,fan_rank_ci_width,mode_fan_rank,mean_fan_votes,fan_votes_ci_low,fan_votes_ci_high,fan_votes_ci_width,certainty_index,season,week
Evander Holyfield,4.0,False,4.49999817647337,6.533148125564958e-05,4.499850203710551,4.50018178265751,0.0003315789469588992,4.0,127610.8339686927,127603.5040609861,127616.9289577421,0.013424896755997907,9.993471117290218,1.0,1.0
Joey McIntyre,1.0,False,2.0000167371594175,0.00010339404034930278,1.9998690982387155,2.00034621480224,0.000477116563524449,2.0,228042.11765394054,228031.68948523857,228046.73838781053,0.015048902571958024,9.989671275250904,1.0,1.0
John O'Hurley,1.0,False,1.999996203033335,8.84439059692098e-05,1.9997274924568895,2.000183083664293,0.00045559120740357173,2.0,228042.91432344483,228036.62414405818,228051.8061924829,0.015182048424729146,9.991163424815326,1.0,1.0
Kelly Monaco,6.0,False,5.999999939244896,6.045056584418142e-07,6.0,6.0,0.0,6.0,60650.95348100012,60650.43617737455,60652.34139931187,0.0019052219373188563,9.99993954979958,1.0,1.0
Rachel Hunter,1.0,False,2.000003167652124,7.567513587824539e-05,1.9998062316317884,2.0001211983162324,0.0003149666844439736,2.0,228042.64411991547,228037.4332403853,228049.77711592306,0.012343875537771965,9.992438208807934,1.0,1.0
Trista Sutter,4.0,False,4.500005238259464,6.223242356267992e-05,4.499889948879392,4.500218117738902,0.0003281688595091481,4.0,127610.53645300619,127602.98382271407,127615.04963210782,0.012065809393752715,9.993780628109588,1.0,1.0
Evander Holyfield,6.0,False,6.0,0.0,6.0,6.0,0.0,6.0,60734.787707784,60734.02891760659,60735.8484271937,0.0018195095871051308,10.0,1.0,2.0
Joey McIntyre,3.0,False,3.0000074429282444,0.00012241953451969198,2.999749759988973,3.0003816064890803,0.0006318465001071694,3.0,189062.83690888126,189048.42601563933,189072.9250578213,0.024499042181967527,9.98777301476644,1.0,2.0
John O'Hurley,1.0,False,1.0,0.0,1.0,1.0,0.0,1.0,266848.676701661,266845.34282724775,266853.3371537925,0.007994326544750947,10.0,1.0,2.0
Kelly Monaco,5.0,False,5.000001543302671,8.168839428428344e-05,4.999846307092694,5.0002306068928455,0.00038429980015131093,5.0,106375.4297038533,106368.2249714306,106382.34966201957,0.014124690588971135,9.99183782811872,1.0,2.0
Rachel Hunter,2.0,False,2.000010692791085,0.00013593943356752987,1.999718111010263,2.0003573276481235,0.0006392166378603736,2.0,228357.57268826515,228345.1124148236,228369.13397390425,0.02402155908063287,9.98642451108598,1.0,2.0
Trista Sutter,4.0,False,4.000010380991963,8.895199832859503e-05,3.999858772143688,4.000258021833658,0.00039924968997029353,4.0,148620.69628955526,148612.02578965868,148627.30025805807,0.015274468399380566,9.991112705593112,1.0,2.0
Evander Holyfield,5.0,False,5.0,0.0,5.0,5.0,0.0,5.0,82840.54185029985,82837.57554685637,82842.63807974546,0.005062532889089198,10.0,1.0,3.0
Joey McIntyre,3.0,False,2.9999854219670663,0.00011464848944561523,2.999683116027837,3.0001027228445376,0.0004196068167003908,3.0,202715.85103282443,202711.27228983134,202731.2124043137,0.01994011448236415,9.988548280279113,1.0,3.0
John O'Hurley,2.0,False,2.0000008750583347,9.863342193545069e-05,1.999819776291143,2.0002362350612466,0.00041645877010365595,2.0,257876.74733494924,257865.82077068996,257883.4941045872,0.01767333389725536,9.990146376772229,1.0,3.0
Kelly Monaco,4.0,False,4.000003319164377,0.00011889837981915584,3.9996710807210714,4.000264767712292,0.0005936869912201992,4.0,145092.9880939992,145076.85265365065,145110.16228245973,0.03330962880907464,9.988124282054313,1.0,3.0
Rachel Hunter,1.0,False,1.0,0.0,1.0,1.0,0.0,1.0,311473.87168792734,311462.7186220792,311481.7533445024,0.019034722423239146,10.0,1.0,3.0
Joey McIntyre,4.0,False,3.99999812976115,1.815363618689365e-05,4.0,4.0,0.0,4.0,120316.11466559606,120314.09780155709,120319.8744470749,0.005776645517806173,9.998184965876002,1.0,4.0
