celebrity_name,judge_percentage,was_eliminated,mean_fan_percentage,std_fan_percentage,fan_percentage_ci_low,fan_percentage_ci_high,fan_percentage_ci_width,mode_fan_percentage,mean_fan_votes,fan_votes_ci_low,fan_votes_ci_high,fan_votes_ci_width,combined_percentage_mean,certainty_index,season,week
Aaron Carter,7.881779829674204,False,7.881779834676916,1.0179991062027993e-07,7.8817796318361095,7.881780016747518,3.8491140852414674e-07,7.9,77124.61775439474,77124.61595752306,77124.61936394541,3.4064223582390697e-06,15.76355966435112,9.9999898200193,9.0,1.0
Ashley Hamiliton,4.679796767671991,False,4.679796753083022,1.1135339366591834e-07,4.679796512777679,4.679796933057958,4.2028027902318854e-07,4.7,48338.88654325995,48338.88434010325,48338.88818741514,3.84731189114973e-06,9.359593520755013,9.999988864673032,9.0,1.0
Chuck Liddell,5.418740566465287,False,5.418740564059171,1.18741314355927e-07,5.418740272582152,5.418740748230902,4.7564874972039206e-07,5.4,55073.556882671866,55073.554245480336,55073.55854896903,4.303488691220991e-06,10.837481130524457,9.999988125882664,9.0,1.0
Debi Mazar,5.418740566465287,False,5.418740564374172,1.1900437978202626e-07,5.418740290426757,5.418740776301661,4.858749038660903e-07,5.4,55073.55688552831,55073.55440365357,55073.55880530404,4.401650468935259e-06,10.837481130839459,9.999988099576184,9.0,1.0
Donny Osmond,7.389167050904632,False,7.389167072366122,1.1254156610120979e-07,7.389166881415968,7.389167273524384,3.92108415958603e-07,7.4,72752.9216199088,72752.91991799434,72752.92341658726,3.4985929232789204e-06,14.778334123270753,9.999988745856054,9.0,1.0
Joanna Krupa,8.374392608443776,False,8.374392602311591,1.251959007016436e-07,8.37439228391183,8.37439286686648,5.829546498858917e-07,8.4,81480.93338402922,81480.93056768547,81480.93572971594,5.1620304730022326e-06,16.748785210755365,9.999987480425602,9.0,1.0
Kathy Ireland,4.926103157056776,False,4.926103174867087,1.0788422464050883e-07,4.926102978705165,4.926103413679681,4.3497451596152814e-07,4.9,50591.624160689695,50591.62236810251,50591.626339121154,3.971018646552693e-06,9.852206331923863,9.999989211589174,9.0,1.0
Kelly Osbourne,7.635448809650482,False,7.6354487808493285,1.3639751773591977e-07,7.63544849182353,7.6354490662207954,5.743972657512586e-07,7.6,74940.57209607743,74940.56952699031,74940.57463020347,5.1032131596002724e-06,15.27089759049981,9.99998636026683,9.0,1.0
Louie Vito,6.6502232521113385,False,6.650223260251753,1.2057722495962306e-07,6.65022304818583,6.65022352803815,4.798523196569704e-07,6.7,66162.54703709066,66162.54513693418,66162.5494277826,4.2908484174404294e-06,13.300446512363092,9.999987942292043,9.0,1.0
Macy Gray,4.679796767671991,False,4.679796781122025,1.2274362313904317e-07,4.67979649255392,4.679797025528939,5.329750187854643e-07,4.7,48338.88680019412,48338.88416005946,48338.88903960489,4.879545427684206e-06,9.359593548794017,9.999987725652751,9.0,1.0
