season,week,celebrity_name,predicted_fan_votes,predicted_fan_percentage
9.0,1.0,Aaron Carter,77124.61775439474,7.881779834676916
9.0,1.0,Ashley Hamiliton,48338.88654325995,4.679796753083022
9.0,1.0,Chuck Liddell,55073.556882671866,5.418740564059171
9.0,1.0,Debi Mazar,55073.55688552831,5.418740564374172
9.0,1.0,Donny Osmond,72752.9216199088,7.389167072366122
9.0,1.0,Joanna Krupa,81480.93338402922,8.374392602311591
9.0,1.0,Kathy Ireland,50591.624160689695,4.926103174867087
9.0,1.0,Kelly Osbourne,74940.57209607743,7.6354487808493285
9.0,1.0,Louie Vito,66162.54703709066,6.650223260251753
9.0,1.0,Macy Gray,48338.88680019412,4.679796781122025
9.0,1.0,Mark Dacascos,70560.57082065514,7.142836025910277
9.0,1.0,Melissa Joan Hart,59527.25203814719,5.9113533710404305
9.0,1.0,Michael Irvin,48339.11222712256,4.67982138177376
9.0,1.0,Mya,74940.79096428891,7.635473443814379
9.0,1.0,Natalie Coughlin,66162.54680918255,6.650223234780494
9.0,1.0,Tom DeLay,50591.62397675888,4.92610315471947
9.0,2.0,Aaron Carter,89742.7788353915,9.183673486447635
9.0,2.0,Chuck Liddell,65307.987502580574,6.462585037754095
9.0,2.0,Debi Mazar,71464.45932653663,7.142857131759594
9.0,2.0,Donny Osmond,83677.57786171543,8.50340135586035
9.0,2.0,Joanna Krupa,68390.92470001295,6.802721090129236
9.0,2.0,Kathy Ireland,62214.84338831495,6.122448955892538
9.0,2.0,Kelly Osbourne,65307.98740406384,6.462585026902345
9.0,2.0,Louie Vito,65307.987353023804,6.462585021280216
9.0,2.0,Mark Dacascos,71464.45954341559,7.142857155795605
9.0,2.0,Melissa Joan Hart,65307.98754071444,6.462585041954591
9.0,2.0,Michael Irvin,68390.92468793986,6.8027210887951375
9.0,2.0,Mya,89742.7786853833,9.18367346958917
9.0,2.0,Natalie Coughlin,71464.45944497104,7.142857144885305
9.0,2.0,Tom DeLay,62214.84372593608,6.122448992954186
9.0,3.0,Aaron Carter,81033.94801130045,8.139534904213113
9.0,3.0,Chuck Liddell,66961.2669415535,6.5891472886880145
9.0,3.0,Debi Mazar,66961.26703820672,6.589147299266998
9.0,3.0,Donny Osmond,81033.94780110236,8.139534880919317
9.0,3.0,Joanna Krupa,88011.58735078192,8.91472868196054
9.0,3.0,Kelly Osbourne,77531.63046361232,7.75193796796084
9.0,3.0,Louie Vito,77531.63050480116,7.751937972512846
9.0,3.0,Mark Dacascos,70496.21083030109,6.976744182471099
9.0,3.0,Melissa Joan Hart,74019.33794871652,7.364341101083457
9.0,3.0,Michael Irvin,56273.238337180665,5.426356581468039
9.0,3.0,Mya,101875.19926797677,10.465116274003703
9.0,3.0,Natalie Coughlin,98419.52410047992,10.077519368219088
9.0,3.0,Tom DeLay,59851.2114039866,5.813953497232944
9.0,4.0,Aaron Carter,75858.3886979202,7.438016525265727
9.0,4.0,Chuck Liddell,72045.36004670888,7.024793385435669
9.0,4.0,Donny Osmond,98509.84550498528,9.917355378005439
9.0,4.0,Joanna Krupa,105991.66928505267,10.743801641027238
9.0,4.0,Kelly Osbourne,94757.58440188962,9.504132240098556
9.0,4.0,Louie Vito,68218.83727063323,6.611570260548567
9.0,4.0,Mark Dacascos,90997.03886539183,9.090909080848613
9.0,4.0,Melissa Joan Hart,113446.29658378396,11.570247925876147
9.0,4.0,Michael Irvin,68218.83724753767,6.611570258059172
9.0,4.0,Mya,113446.29676398449,11.570247945887411
9.0,4.0,Natalie Coughlin,98509.84533211222,9.917355358947464
9.0,5.0,Aaron Carter,99265.55065077709,9.91735537077284
9.0,5.0,Donny Osmond,118063.21196857742,11.983471060782882
9.0,5.0,Joanna Krupa,99265.55070867122,9.917355377106647
9.0,5.0,Kelly Osbourne,99265.55056838783,9.917355361759183
9.0,5.0,Louie Vito,91695.11075297964,9.09090909993229
9.0,5.0,Mark Dacascos,106804.77041761005,10.743801652233346
9.0,5.0,Melissa Joan Hart,95484.50461853495,9.504132237700924
9.0,5.0,Michael Irvin,87896.74540602908,8.67768595724768
9.0,5.0,Mya,110563.89419210245,11.157024786523824
