season,week,celebrity_name,predicted_fan_votes
1.0,1.0,Evander Holyfield,127610.8339686927
1.0,1.0,Joey McIntyre,228042.11765394054
1.0,1.0,John O'Hurley,228042.91432344483
1.0,1.0,Kelly Monaco,60650.95348100012
1.0,1.0,Rachel Hunter,228042.64411991547
1.0,1.0,Trista Sutter,127610.53645300619
1.0,2.0,Evander Holyfield,60734.787707784
1.0,2.0,Joey McIntyre,189062.83690888126
1.0,2.0,John O'Hurley,266848.676701661
1.0,2.0,Kelly Monaco,106375.4297038533
1.0,2.0,Rachel Hunter,228357.57268826515
1.0,2.0,Trista Sutter,148620.69628955526
1.0,3.0,Evander Holyfield,82840.54185029985
1.0,3.0,Joey McIntyre,202715.85103282443
1.0,3.0,John O'Hurley,257876.74733494924
1.0,3.0,Kelly Monaco,145092.9880939992
1.0,3.0,Rachel Hunter,311473.87168792734
1.0,4.0,Joey McIntyre,120316.11466559606
1.0,4.0,John O'Hurley,210730.534592867
1.0,4.0,Kelly Monaco,374534.9084441922
1.0,4.0,Rachel Hunter,294418.44229734474
1.0,5.0,Joey McIntyre,192362.73262641276
1.0,5.0,John O'Hurley,470721.4201519518
1.0,5.0,Kelly Monaco,336915.84722163563
1.0,6.0,John O'Hurley,363441.3516063275
1.0,6.0,Kelly Monaco,636558.6483936723
2.0,1.0,Drew Lachey,170320.02844842654
2.0,1.0,George Hamilton,60856.93491425163
2.0,1.0,Giselle Fernandez,147709.7580572683
2.0,1.0,Jerry Rice,109268.19967080375
2.0,1.0,Kenny Mayne,43558.412185448564
2.0,1.0,Lisa Rinna,77417.01496327555
2.0,1.0,Master P,24869.47251986168
2.0,1.0,Stacy Keibler,124783.42065193923
2.0,1.0,Tatum O'Neal,147709.8664274161
2.0,1.0,Tia Carrere,93506.89216130866
2.0,2.0,Drew Lachey,168856.64836385663
2.0,2.0,George Hamilton,103056.25433892915
2.0,2.0,Giselle Fernandez,150388.43312588026
2.0,2.0,Jerry Rice,131689.67436221096
2.0,2.0,Lisa Rinna,73344.48231894925
2.0,2.0,Master P,29972.558603538815
2.0,2.0,Stacy Keibler,187139.2321844646
2.0,2.0,Tatum O'Neal,52496.30819576223
2.0,2.0,Tia Carrere,103056.40850640807
2.0,3.0,Drew Lachey,196377.17135081138
2.0,3.0,George Hamilton,102598.0967272145
2.0,3.0,Giselle Fernandez,102598.34620916552
2.0,3.0,Jerry Rice,64573.4467792711
2.0,3.0,Lisa Rinna,138621.085513928
2.0,3.0,Master P,36868.34159797936
2.0,3.0,Stacy Keibler,196377.3365281482
2.0,3.0,Tia Carrere,161986.17529348182
2.0,4.0,Drew Lachey,233532.62104099887
2.0,4.0,George Hamilton,81519.3138096013
2.0,4.0,Jerry Rice,113893.77554149037
2.0,4.0,Lisa Rinna,189812.61026839048
2.0,4.0,Master P,46543.22122521908
2.0,4.0,Stacy Keibler,189812.9152618523
2.0,4.0,Tia Carrere,144885.54285244748
2.0,5.0,Drew Lachey,228357.30204733845
2.0,5.0,George Hamilton,148621.26892039517
2.0,5.0,Jerry Rice,106375.66630166389
2.0,5.0,Lisa Rinna,189062.83002433524
2.0,5.0,Stacy Keibler,266848.232661283
2.0,5.0,Tia Carrere,60734.70004498414
2.0,6.0,Drew Lachey,284274.40007772617
2.0,6.0,George Hamilton,114568.00033603556
2.0,6.0,Jerry Rice,114567.29028063129
2.0,6.0,Lisa Rinna,202315.66907083322
2.0,6.0,Stacy Keibler,284274.6402347738
2.0,7.0,Drew Lachey,334590.74833677104
2.0,7.0,Jerry Rice,120233.182514158
2.0,7.0,Lisa Rinna,210584.7575995007
2.0,7.0,Stacy Keibler,334591.3115495702
2.0,8.0,Drew Lachey,470720.78568949766
2.0,8.0,Jerry Rice,192362.47335006326
2.0,8.0,Stacy Keibler,336916.7409604392
28.0,1.0,Ally Brooke,73198.94528928184
28.0,1.0,Hannah Brown,133703.02466769313
28.0,1.0,James Van Der Beek,144416.412958172
28.0,1.0,Karamo Brown,95604.23117139844
28.0,1.0,Kate Flannery,49948.79366106044
28.0,1.0,Kel Mitchell,73199.00342990633
28.0,1.0,Lamar Odom,17948.8269502026
28.0,1.0,Lauren Alaina,122923.65138510786
28.0,1.0,Mary Wilson,95604.24888542722
28.0,1.0,Ray Lewis,49948.87604627193
28.0,1.0,Sailor Brinkley-Cook,112067.05789470421
28.0,1.0,Sean Spicer,31436.92766077404
28.0,2.0,Ally Brooke,112053.84293162936
28.0,2.0,Hannah Brown,144399.49591999088
28.0,2.0,James Van Der Beek,112053.86155563647
28.0,2.0,Karamo Brown,84469.72108660516
28.0,2.0,Kate Flannery,133687.3362555291
28.0,2.0,Kel Mitchell,112053.88080406182
28.0,2.0,Lamar Odom,17946.72441223892
28.0,2.0,Lauren Alaina,84469.47264516322
28.0,2.0,Mary Wilson,37760.2137669404
28.0,2.0,Ray Lewis,37760.235826164455
28.0,2.0,Sailor Brinkley-Cook,67478.31048774428
28.0,2.0,Sean Spicer,55866.904308295896
28.0,3.0,Ally Brooke,162791.42617377217
28.0,3.0,Hannah Brown,109253.61051625627
28.0,3.0,James Van Der Beek,132449.20949554964
28.0,3.0,Karamo Brown,60848.70140081125
28.0,3.0,Kate Flannery,162791.452754693
28.0,3.0,Kel Mitchell,85498.82823214718
28.0,3.0,Lamar Odom,24866.348610932906
28.0,3.0,Lauren Alaina,85498.83302722378
28.0,3.0,Sailor Brinkley-Cook,132449.09727817046
28.0,3.0,Sean Spicer,43552.49251044339
28.0,4.0,Ally Brooke,147648.93064214985
28.0,4.0,Hannah Brown,147648.9291223695
28.0,4.0,James Van Der Beek,85474.88827461617
28.0,4.0,Karamo Brown,85474.86947655698
28.0,4.0,Kate Flannery,60831.75913916771
28.0,4.0,Kel Mitchell,147648.9906406105
28.0,4.0,Lamar Odom,24859.24302683123
28.0,4.0,Lauren Alaina,147648.96832853986
28.0,4.0,Sailor Brinkley-Cook,109223.16189518204
28.0,4.0,Sean Spicer,43540.25945397613
28.0,5.0,Ally Brooke,187129.78206422727
28.0,5.0,Hannah Brown,131682.78932451893
28.0,5.0,James Van Der Beek,159640.09626018236
28.0,5.0,Karamo Brown,52493.51911706003
28.0,5.0,Kate Flannery,103051.11533480683
28.0,5.0,Kel Mitchell,159640.07254018227
28.0,5.0,Lauren Alaina,73340.55828924701
28.0,5.0,Sailor Brinkley-Cook,103051.07074863404
28.0,5.0,Sean Spicer,29970.996321141265
28.0,6.0,Ally Brooke,83381.94675671562
28.0,6.0,Hannah Brown,52478.975594283744
28.0,6.0,James Van Der Beek,168801.77164875445
28.0,6.0,Karamo Brown,83381.96678236857
28.0,6.0,Kate Flannery,168801.697171819
28.0,6.0,Kel Mitchell,122194.36743686936
28.0,6.0,Lauren Alaina,122194.48723083475
28.0,6.0,Sailor Brinkley-Cook,168801.8749212282
28.0,6.0,Sean Spicer,29962.912457126364
28.0,7.0,Ally Brooke,184985.38772397395
28.0,7.0,Hannah Brown,138619.4830378624
28.0,7.0,James Van Der Beek,184985.43401109017
28.0,7.0,Karamo Brown,90217.18541394392
28.0,7.0,Kate Flannery,64573.05354627238
28.0,7.0,Kel Mitchell,114766.47659836097
28.0,7.0,Lauren Alaina,184985.2319350487
28.0,7.0,Sean Spicer,36867.74773344758
28.0,8.0,Ally Brooke,175022.08841074037
28.0,8.0,Hannah Brown,204522.07588731023
28.0,8.0,James Van Der Beek,233563.45728027594
28.0,8.0,Kate Flannery,113908.28076323167
28.0,8.0,Kel Mitchell,144905.133186027
28.0,8.0,Lauren Alaina,81529.59756228016
28.0,8.0,Sean Spicer,46549.366910134646
28.0,9.0,Ally Brooke,266848.6693215838
28.0,9.0,Hannah Brown,148621.51639673032
28.0,9.0,James Van Der Beek,189062.46666736252
28.0,9.0,Kel Mitchell,228358.185458836
28.0,9.0,Lauren Alaina,106374.37608733887
28.0,9.0,Sean Spicer,60734.786068148336
28.0,10.0,Ally Brooke,311228.64917852764
28.0,10.0,Hannah Brown,174159.3604647214
28.0,10.0,James Van Der Beek,82775.49177504999
28.0,10.0,Kel Mitchell,257674.50951320928
28.0,10.0,Lauren Alaina,174161.98906849162
28.0,11.0,Ally Brooke,374535.2402969573
28.0,11.0,Hannah Brown,210730.4199391623
28.0,11.0,Kel Mitchell,294418.3418147374
28.0,11.0,Lauren Alaina,120315.9979491429
29.0,1.0,AJ McLean,67529.69989602912
29.0,1.0,Anne Heche,67529.74593074783
29.0,1.0,Carole Baskin,11986.884864009915
29.0,1.0,Charles Oakley,20994.41607057881
29.0,1.0,Chrishell Stause,29332.064473135713
29.0,1.0,Jeannie Mai,67529.71998615975
29.0,1.0,Jesse Metcalfe,67529.76687770349
29.0,1.0,Johnny Weir,67529.7045195288
29.0,1.0,Justina Machado,114174.49121525796
29.0,1.0,Kaitlyn Bristowe,100007.80193919377
29.0,1.0,Monica Aldama,89290.53939398853
29.0,1.0,Nelly,37313.78398625966
29.0,1.0,Nev Schulman,100007.77236029984
29.0,1.0,Skai Jackson,114174.49754304849
29.0,1.0,Veron Davis,45069.11094405837
29.0,2.0,AJ McLean,89231.2174543866
29.0,2.0,Anne Heche,63804.661422969686
29.0,2.0,Carole Baskin,33335.04536472477
29.0,2.0,Charles Oakley,16599.241924846967
29.0,2.0,Chrishell Stause,63804.67119696252
29.0,2.0,Jeannie Mai,63804.647853111615
29.0,2.0,Jesse Metcalfe,96381.16235137811
29.0,2.0,Johnny Weir,63804.656183786836
29.0,2.0,Justina Machado,107035.84275787964
29.0,2.0,Kaitlyn Bristowe,117619.36778372512
29.0,2.0,Monica Aldama,33335.04616398084
29.0,2.0,Nelly,63804.644701126585
29.0,2.0,Nev Schulman,107035.87745135668
29.0,2.0,Skai Jackson,16599.272170366556
29.0,2.0,Veron Davis,63804.64521939749
29.0,3.0,AJ McLean,72384.1033663107
29.0,3.0,Anne Heche,23801.57620214428
29.0,3.0,Carole Baskin,13589.609143271646
29.0,3.0,Chrishell Stause,93068.30528828008
29.0,3.0,Jeannie Mai,93068.33544726996
29.0,3.0,Jesse Metcalfe,59707.65365308512
29.0,3.0,Johnny Weir,121428.38568644012
29.0,3.0,Justina Machado,51095.356139949996
29.0,3.0,Kaitlyn Bristowe,109340.98003809928
29.0,3.0,Monica Aldama,72384.07200231553
29.0,3.0,Nelly,37817.44427895987
29.0,3.0,Nev Schulman,121428.33936084367
29.0,3.0,Skai Jackson,37817.49559087155
29.0,3.0,Veron Davis,93068.34380215826
29.0,4.0,AJ McLean,96836.5293021602
29.0,4.0,Anne Heche,32632.266672603786
29.0,4.0,Chrishell Stause,63250.91260367029
29.0,4.0,Jeannie Mai,32632.2350125749
29.0,4.0,Jesse Metcalfe,32632.177135348535
29.0,4.0,Johnny Weir,96836.52544914877
29.0,4.0,Justina Machado,96836.5032906884
29.0,4.0,Kaitlyn Bristowe,124789.46866828663
29.0,4.0,Monica Aldama,96836.49549494222
29.0,4.0,Nelly,32632.190617156142
29.0,4.0,Nev Schulman,96836.57421107849
29.0,4.0,Skai Jackson,133997.31769907946
29.0,4.0,Veron Davis,63250.803843262176
29.0,5.0,AJ McLean,78774.38712940092
29.0,5.0,Chrishell Stause,24844.726616157186
29.0,5.0,Jeannie Mai,78774.33767620668
29.0,5.0,Jesse Metcalfe,24844.654067871328
29.0,5.0,Johnny Weir,144257.08145186034
29.0,5.0,Justina Machado,78774.28273455804
29.0,5.0,Kaitlyn Bristowe,133555.73532672873
29.0,5.0,Monica Aldama,117376.41864875304
29.0,5.0,Nelly,78774.29609114844
29.0,5.0,Nev Schulman,117376.40890762565
29.0,5.0,Skai Jackson,78774.41191722499
29.0,5.0,Veron Davis,43873.259432464634
29.0,6.0,AJ McLean,137324.42831238123
29.0,6.0,Chrishell Stause,72123.35336351256
29.0,6.0,Jeannie Mai,92162.11548799244
29.0,6.0,Johnny Weir,51329.494491655336
29.0,6.0,Justina Machado,137324.50027980973
29.0,6.0,Kaitlyn Bristowe,137324.4978086751
29.0,6.0,Monica Aldama,137324.4592068862
29.0,6.0,Nelly,72123.41725844593
29.0,6.0,Nev Schulman,105248.4672197504
29.0,6.0,Skai Jackson,20976.195080494592
29.0,6.0,Veron Davis,36739.07149039642
29.0,7.0,AJ McLean,93465.09775187906
29.0,7.0,Chrishell Stause,93465.54311694417
29.0,7.0,Jeannie Mai,60829.62731111851
29.0,7.0,Johnny Weir,140044.5141348441
29.0,7.0,Justina Machado,93465.33457869719
29.0,7.0,Kaitlyn Bristowe,43538.789990673686
29.0,7.0,Monica Aldama,24858.30192027921
29.0,7.0,Nelly,140044.5961405413
29.0,7.0,Nev Schulman,170243.63421400622
29.0,7.0,Skai Jackson,140044.5608410165
29.0,8.0,AJ McLean,102598.27775477084
29.0,8.0,Chrishell Stause,102598.16725506585
29.0,8.0,Johnny Weir,196377.22094138782
29.0,8.0,Justina Machado,161986.0272103852
29.0,8.0,Kaitlyn Bristowe,138620.93351612828
29.0,8.0,Nelly,36868.730549337946
29.0,8.0,Nev Schulman,196377.2027591839
29.0,8.0,Skai Jackson,64573.44001374011
29.0,9.0,AJ McLean,81507.23299228553
29.0,9.0,Johnny Weir,219031.45298591786
29.0,9.0,Justina Machado,113876.61714842549
29.0,9.0,Kaitlyn Bristowe,219031.530891384
29.0,9.0,Nelly,46536.69151188251
29.0,9.0,Nev Schulman,160008.35998897642
29.0,9.0,Skai Jackson,160008.11448112817
29.0,10.0,Johnny Weir,127691.6707126985
29.0,10.0,Justina Machado,188921.53454112855
29.0,10.0,Kaitlyn Bristowe,247502.91566373652
29.0,10.0,Nelly,60689.62785744002
29.0,10.0,Nev Schulman,247502.33458999766
29.0,10.0,Skai Jackson,127691.91663499869
29.0,11.0,Justina Machado,293369.90571297274
29.0,11.0,Kaitlyn Bristowe,293371.3000359782
29.0,11.0,Nelly,119887.68917514944
29.0,11.0,Nev Schulman,293371.1050758997
30.0,1.0,Amanda Kloots,107108.1454994474
30.0,1.0,Brian Austin Green,48884.75787189589
30.0,1.0,Christine Chiu,71194.73705157988
30.0,1.0,Cody Rigsby,48884.77472943471
30.0,1.0,Iman Shumpert,20994.661892599164
30.0,1.0,Jimmie Allen,29332.49343671189
30.0,1.0,JoJo Siwa,117698.95867282944
30.0,1.0,Kenya Moore,85698.00635933869
30.0,1.0,Martin Kove,11986.845410688613
30.0,1.0,Matt James,48884.742782668356
30.0,1.0,Melanie C,96446.23502106321
30.0,1.0,Melora Hardin,85698.01303471817
30.0,1.0,"Mike ""The Miz"" Mizanin",48884.74431014723
30.0,1.0,Olivia Jade,71194.72738841243
30.0,1.0,Suni Lee,107108.15653846489
30.0,2.0,Amanda Kloots,117719.03679883805
30.0,2.0,Brian Austin Green,29337.476894254713
30.0,2.0,Christine Chiu,45077.2815844029
30.0,2.0,Cody Rigsby,45077.22756499672
30.0,2.0,Iman Shumpert,60154.81154320672
30.0,2.0,Jimmie Allen,82106.65187946233
30.0,2.0,JoJo Siwa,110664.65979896387
30.0,2.0,Kenya Moore,45077.272103393174
30.0,2.0,Martin Kove,11988.898560928703
30.0,2.0,Matt James,20998.263487740856
30.0,2.0,Melanie C,103580.42239120156
30.0,2.0,Melora Hardin,82106.63784401932
30.0,2.0,"Mike ""The Miz"" Mizanin",67541.9390162933
30.0,2.0,Olivia Jade,82106.69744694653
30.0,2.0,Suni Lee,96462.72308535127
30.0,3.0,Amanda Kloots,117388.75320303762
30.0,3.0,Brian Austin Green,28587.550018150727
30.0,3.0,Christine Chiu,68174.05720494702
30.0,3.0,Cody Rigsby,13587.172266361376
30.0,3.0,Iman Shumpert,28587.639557491344
30.0,3.0,Jimmie Allen,46717.442259326766
30.0,3.0,JoJo Siwa,117388.74482903807
30.0,3.0,Kenya Moore,68174.03746735511
30.0,3.0,Matt James,46717.46812575387
30.0,3.0,Melanie C,88951.0325884199
30.0,3.0,Melora Hardin,101212.28310172052
30.0,3.0,"Mike ""The Miz"" Mizanin",88951.06038988402
30.0,3.0,Olivia Jade,117388.73059041206
30.0,3.0,Suni Lee,68174.02839810161
30.0,4.0,Amanda Kloots,101739.86267730698
30.0,4.0,Brian Austin Green,15540.667131404853
30.0,4.0,Cody Rigsby,38028.7103210953
30.0,4.0,Iman Shumpert,58431.459826526574
30.0,4.0,Jimmie Allen,73144.70410614312
30.0,4.0,JoJo Siwa,120408.47231856688
30.0,4.0,Kenya Moore,48376.830866048535
30.0,4.0,Matt James,27218.952712040475
30.0,4.0,Melanie C,87551.34250293803
30.0,4.0,Melora Hardin,134266.07112299543
30.0,4.0,"Mike ""The Miz"" Mizanin",73144.70180757306
30.0,4.0,Olivia Jade,120408.4138337534
30.0,4.0,Suni Lee,101739.8107736074
30.0,5.0,Amanda Kloots,143556.5129086607
30.0,5.0,Cody Rigsby,44103.54836353993
30.0,5.0,Iman Shumpert,20961.559774167683
30.0,5.0,Jimmie Allen,65251.86214549051
30.0,5.0,JoJo Siwa,156145.28727688277
30.0,5.0,Kenya Moore,105175.47207841837
30.0,5.0,Melanie C,105175.62137713953
30.0,5.0,Melora Hardin,105175.53510684607
30.0,5.0,"Mike ""The Miz"" Mizanin",44103.7340492531
30.0,5.0,Olivia Jade,105175.52520138543
30.0,5.0,Suni Lee,105175.34171821598
30.0,6.0,Amanda Kloots,132386.9542692938
30.0,6.0,Cody Rigsby,93450.88509224875
30.0,6.0,Iman Shumpert,162715.0240389187
30.0,6.0,Jimmie Allen,132387.035417887
30.0,6.0,JoJo Siwa,162715.05667561386
30.0,6.0,Kenya Moore,24854.711699023283
30.0,6.0,Melora Hardin,52294.31097237527
30.0,6.0,"Mike ""The Miz"" Mizanin",52294.24522326172
30.0,6.0,Olivia Jade,93450.85301352544
30.0,6.0,Suni Lee,93450.92359785216
30.0,7.0,Amanda Kloots,73282.75945331625
30.0,7.0,Cody Rigsby,112600.00301582759
30.0,7.0,Iman Shumpert,73282.96815736442
30.0,7.0,Jimmie Allen,140953.03403681982
30.0,7.0,JoJo Siwa,168715.20725021232
30.0,7.0,Melora Hardin,140953.2256194196
30.0,7.0,"Mike ""The Miz"" Mizanin",29947.419861534247
30.0,7.0,Olivia Jade,186982.4948368868
30.0,7.0,Suni Lee,73282.88776861888
30.0,8.0,Amanda Kloots,184985.23594443445
30.0,8.0,Cody Rigsby,114766.6015350768
30.0,8.0,Iman Shumpert,64573.210454045184
30.0,8.0,Jimmie Allen,36867.875970217996
30.0,8.0,JoJo Siwa,138619.47843638348
30.0,8.0,Melora Hardin,184984.9995579766
30.0,8.0,Olivia Jade,90217.41222953664
30.0,8.0,Suni Lee,184985.18587232888
30.0,9.0,Amanda Kloots,228278.0466563603
30.0,9.0,Cody Rigsby,60713.70015085865
30.0,9.0,Iman Shumpert,168956.7817405257
30.0,9.0,JoJo Siwa,266756.0218591784
30.0,9.0,Melora Hardin,106338.40878930836
30.0,9.0,Suni Lee,168957.04080376858
30.0,10.0,Amanda Kloots,210586.01840498587
30.0,10.0,Cody Rigsby,120233.1505971114
30.0,10.0,Iman Shumpert,334590.6242309226
30.0,10.0,JoJo Siwa,334590.2067669802
31.0,1.0,Charli D'Amelio,110903.74418416953
31.0,1.0,Cheryl Ladd,50166.09563497647
31.0,1.0,Daniel Durant,79396.2857425949
31.0,1.0,Gabby Windey,92086.01072040804
31.0,1.0,Heidi D'Amelio,66548.25105851244
31.0,1.0,Jason Lewis,18668.076525923287
31.0,1.0,Jessie James Decker,33179.05953205973
31.0,1.0,Jordin Sparks,72995.17543938564
31.0,1.0,Joseph Baena,60046.88460066288
31.0,1.0,Sam Champion,33179.055856123014
31.0,1.0,Selma Blair,92086.01086712662
31.0,1.0,Shangela,92086.05176970361
31.0,1.0,Teresa Giudice,33179.08232260606
31.0,1.0,Trevor Donovan,50166.080468894004
31.0,1.0,Vinny Guadagnino,10658.492999506721
31.0,1.0,Wayne Brady,104655.64227734701
31.0,2.0,Charli D'Amelio,110674.93253104703
31.0,2.0,Cheryl Ladd,11990.043780293876
31.0,2.0,Daniel Durant,89315.07339451365
31.0,2.0,Gabby Windey,110674.9106354533
31.0,2.0,Heidi D'Amelio,74862.05660753828
31.0,2.0,Jessie James Decker,37324.00553018003
31.0,2.0,Jordin Sparks,56433.25329672275
31.0,2.0,Joseph Baena,29340.077962572697
31.0,2.0,Sam Champion,45081.49789443174
31.0,2.0,Selma Blair,74861.97084632875
31.0,2.0,Shangela,74862.01791384342
31.0,2.0,Teresa Giudice,21000.19021433048
31.0,2.0,Trevor Donovan,96471.77299767113
31.0,2.0,Vinny Guadagnino,56433.282127179766
31.0,2.0,Wayne Brady,110674.91426789315
31.0,3.0,Charli D'Amelio,117421.48349375604
31.0,3.0,Cheryl Ladd,23804.212650682297
31.0,3.0,Daniel Durant,93078.30426388493
31.0,3.0,Gabby Windey,117421.52250310309
31.0,3.0,Heidi D'Amelio,101240.47919060141
31.0,3.0,Jessie James Decker,42307.64897426169
31.0,3.0,Jordin Sparks,72391.85120341628
31.0,3.0,Joseph Baena,72391.84147431671
31.0,3.0,Sam Champion,33257.69345090559
31.0,3.0,Selma Blair,59713.98225097559
31.0,3.0,Shangela,84857.62755317618
31.0,3.0,Trevor Donovan,51100.87754837573
31.0,3.0,Vinny Guadagnino,13590.926567104496
31.0,3.0,Wayne Brady,117421.54887544
31.0,4.0,Charli D'Amelio,125010.11182279492
31.0,4.0,Daniel Durant,53421.49653167956
31.0,4.0,Gabby Windey,125010.06249203312
31.0,4.0,Heidi D'Amelio,101715.69289251037
31.0,4.0,Jessie James Decker,68264.07310771225
31.0,4.0,Jordin Sparks,101715.6903276797
31.0,4.0,Joseph Baena,32690.00177692837
31.0,4.0,Sam Champion,15537.01759725396
31.0,4.0,Selma Blair,82757.06643563506
31.0,4.0,Shangela,82757.09927155677
31.0,4.0,Trevor Donovan,32690.0538274374
31.0,4.0,Vinny Guadagnino,53421.524254429656
31.0,4.0,Wayne Brady,125010.10966234899
31.0,5.0,Charli D'Amelio,144433.0693339048
31.0,5.0,Daniel Durant,31440.537770771658
31.0,5.0,Gabby Windey,128337.00905584851
31.0,5.0,Heidi D'Amelio,101130.30935524842
31.0,5.0,Jessie James Decker,73207.4989386982
31.0,5.0,Jordin Sparks,55879.88437337013
31.0,5.0,Joseph Baena,43926.77154632052
31.0,5.0,Selma Blair,112079.98711512578
31.0,5.0,Shangela,90069.45344887007
31.0,5.0,Trevor Donovan,73207.54285441095
31.0,5.0,Vinny Guadagnino,17950.899278402772
31.0,5.0,Wayne Brady,128337.03692902825
31.0,6.0,Charli D'Amelio,170150.02626198955
31.0,6.0,Daniel Durant,85424.78815048549
31.0,6.0,Gabby Windey,155122.16698343825
31.0,6.0,Heidi D'Amelio,132334.57707461723
31.0,6.0,Jessie James Decker,43514.751673886116
31.0,6.0,Jordin Sparks,85424.86416049168
31.0,6.0,Shangela,132334.54734734967
31.0,6.0,Trevor Donovan,85424.83202793195
31.0,6.0,Vinny Guadagnino,24844.754012849615
31.0,6.0,Wayne Brady,85424.69230696054
31.0,7.0,Charli D'Amelio,178017.09886254714
31.0,7.0,Daniel Durant,122232.8333122741
31.0,7.0,Gabby Windey,93301.25050809914
31.0,7.0,Heidi D'Amelio,73343.71053578137
31.0,7.0,Jordin Sparks,52495.63822868574
31.0,7.0,Shangela,122232.95763426866
31.0,7.0,Trevor Donovan,178017.21410404213
31.0,7.0,Vinny Guadagnino,29972.307228891324
31.0,7.0,Wayne Brady,150386.9895854105
31.0,8.0,Charli D'Amelio,196377.28547627715
31.0,8.0,Daniel Durant,102598.24386180268
31.0,8.0,Gabby Windey,138620.89452127207
31.0,8.0,Heidi D'Amelio,64573.66137906906
31.0,8.0,Shangela,161986.0158554972
31.0,8.0,Trevor Donovan,102598.26752847126
31.0,8.0,Vinny Guadagnino,36868.35977680493
31.0,8.0,Wayne Brady,196377.27160080563
31.0,9.0,Charli D'Amelio,247560.5905018891
31.0,9.0,Daniel Durant,106319.72965738902
31.0,9.0,Gabby Windey,247560.9008913131
31.0,9.0,Shangela,168927.23844358898
31.0,9.0,Trevor Donovan,60703.54051177851
31.0,9.0,Wayne Brady,168927.99999404117
31.0,10.0,Charli D'Amelio,333789.79851237324
31.0,10.0,Gabby Windey,333789.6817065672
31.0,10.0,Shangela,166209.62864644727
31.0,10.0,Wayne Brady,166210.8911346123
32.0,1.0,Adrian Peterson,88908.04980093475
32.0,1.0,Alyson Hannigan,42275.349382308814
32.0,1.0,Ariana Madix,113305.74833699808
32.0,1.0,Barry Williams,68141.08490348022
32.0,1.0,Charity Lawson,125356.7123651619
32.0,1.0,Harry Jowsey,23786.042249656603
32.0,1.0,Jamie Lynn Spears,55384.336499916746
32.0,1.0,Jason Mraz,113305.73476536333
32.0,1.0,Lele Pons,101163.380689946
32.0,1.0,Matt Walsh,23786.014209729707
32.0,1.0,Mauricio Umansky,55384.31246881999
32.0,1.0,Mira Sorvino,76509.11418013701
32.0,1.0,Tyson Beckford,23786.05132038286
32.0,1.0,Xochitl Gomez,88908.06882716401
32.0,2.0,Adrian Peterson,38011.307794106564
32.0,2.0,Alyson Hannigan,87511.35248522852
32.0,2.0,Ariana Madix,96986.44092037347
32.0,2.0,Barry Williams,38011.26936124925
32.0,2.0,Charity Lawson,111054.25551330447
32.0,2.0,Harry Jowsey,38011.29160899606
32.0,2.0,Jamie Lynn Spears,58404.72212060437
32.0,2.0,Jason Mraz,129599.51015551829
32.0,2.0,Lele Pons,111054.26599839624
32.0,2.0,Mauricio Umansky,15533.543694284519
32.0,2.0,Mira Sorvino,73111.30127481426
32.0,2.0,Tyson Beckford,73111.27584081958
32.0,2.0,Xochitl Gomez,129599.46323230442
32.0,3.0,Adrian Peterson,31439.469700487884
32.0,3.0,Alyson Hannigan,61719.45569395307
32.0,3.0,Ariana Madix,139078.28702387432
32.0,3.0,Barry Williams,78867.34899059817
32.0,3.0,Charity Lawson,117514.96063210178
32.0,3.0,Harry Jowsey,61719.25301714986
32.0,3.0,Jason Mraz,139078.16301022444
32.0,3.0,Lele Pons,101126.59980644031
32.0,3.0,Mauricio Umansky,43925.094440298824
32.0,3.0,Mira Sorvino,90066.05501809051
32.0,3.0,Tyson Beckford,17950.3193239783
32.0,3.0,Xochitl Gomez,117514.99334280254
32.0,4.0,Adrian Peterson,78837.09375015894
32.0,4.0,Alyson Hannigan,29055.555220108145
32.0,4.0,Ariana Madix,143598.84320172225
32.0,4.0,Barry Williams,29055.522951000716
32.0,4.0,Charity Lawson,124535.98427726755
32.0,4.0,Harry Jowsey,78837.0429384048
32.0,4.0,Jason Mraz,124535.96195100015
32.0,4.0,Lele Pons,105206.54390822239
32.0,4.0,Mauricio Umansky,51309.106678099175
32.0,4.0,Mira Sorvino,78837.14953748582
32.0,4.0,Xochitl Gomez,156191.19558652994
32.0,5.0,Alyson Hannigan,43527.36168242155
32.0,5.0,Ariana Madix,101350.74310919926
32.0,5.0,Barry Williams,101350.95359692351
32.0,5.0,Charity Lawson,162697.77929625008
32.0,5.0,Harry Jowsey,24851.974027637698
32.0,5.0,Jason Mraz,140008.16478072552
32.0,5.0,Lele Pons,101350.86570105795
32.0,5.0,Mauricio Umansky,101350.77798851924
32.0,5.0,Mira Sorvino,60813.637263192104
