season,week,n_players,avg_std_fan_rank,avg_ci_width,solution_space_compactness
1.0,1.0,6,6.594691544558821e-05,0.0003179037103066736,9.993409654584958
1.0,2.0,6,7.149989345001672e-05,0.00034243543801485793,9.99285511923713
1.0,3.0,5,6.643605824004435e-05,0.00028595051560484917,9.993360804995456
1.0,4.0,4,5.161602515484014e-05,0.00016426011230430415,9.994841060324116
1.0,5.0,3,4.191708228783172e-05,0.00021131088953141308,9.995810048076812
1.0,6.0,2,5.4100983095744146e-17,1.1102230246251565e-16,9.999999999999995
2.0,1.0,10,5.750400744500005e-05,0.00024477819919588306,9.994252904065974
2.0,2.0,9,6.286795941256973e-05,0.0002597370898506214,9.993717153955844
2.0,3.0,8,5.120694394033212e-05,0.0001838219159529253,9.994881926415038
2.0,4.0,7,5.411881967714362e-05,0.00023074793308814584,9.99459104529473
2.0,5.0,6,6.836370027658011e-05,0.0002865800220852588,9.993168300374997
2.0,6.0,5,5.4505983963530786e-05,0.000212623924339006,9.994552370887497
2.0,7.0,4,7.55183334700147e-05,0.00037796185987643005,9.992453865368114
2.0,8.0,3,4.616738774732363e-05,0.0002298327577735885,9.995385391669389
28.0,1.0,12,4.317566619050703e-05,0.0001766981434422147,9.995684296714593
28.0,2.0,12,4.929600342513141e-05,0.0002242811852675719,9.99507282855609
28.0,3.0,10,4.111359312284965e-05,0.0001625531920035783,9.995890330320584
28.0,4.0,10,3.46738273929887e-05,0.0001299406334005049,9.996533819118277
28.0,5.0,9,3.4260964944564594e-05,0.0001422695907813656,9.99657507691724
28.0,6.0,9,5.2977903172897905e-05,0.00018514409686725623,9.994705014854814
28.0,7.0,8,5.277098759677819e-05,0.00021495401217042076,9.994725684548674
28.0,8.0,7,6.901206523245474e-05,0.00029153039896450447,9.993103552857356
28.0,9.0,6,6.339927305837403e-05,0.00027838587500291406,9.993664089615288
28.0,10.0,5,6.799943331324204e-05,0.0002625381552105566,9.993204677449501
28.0,11.0,4,4.307400626273436e-05,0.00013824075182772289,9.995694453944903
29.0,1.0,15,4.3238849700870586e-05,0.00018237679989518973,9.995677983819993
29.0,2.0,15,3.2369475086996254e-05,0.00011960603163319779,9.996764099935165
29.0,3.0,14,3.424349200796399e-05,0.00012816273028356688,9.996576823014541
29.0,4.0,13,3.8227287865344793e-05,0.00014923943407590528,9.99617873198059
29.0,5.0,12,5.253348051335666e-05,0.0001970179876884711,9.994749410266198
29.0,6.0,11,4.1895351672571826e-05,0.0001456563265908948,9.995812219318188
29.0,7.0,10,5.7529777398778324e-05,0.00026715212319587954,9.994250330032454
29.0,8.0,8,4.162883665354143e-05,0.0001633785201745619,9.995838848573575
29.0,9.0,7,5.024198101268399e-05,0.0001685096664762385,9.994978324887787
29.0,10.0,6,9.035764943823422e-05,0.00039305493549735004,9.990972392190393
29.0,11.0,4,7.159886891503481e-05,0.00022416179722850593,9.99284523583871
30.0,1.0,15,3.610619326702801e-05,0.00013908640648387186,9.996390683859959
30.0,2.0,15,4.329977109589392e-05,0.00017945662465483161,9.995671896949125
30.0,3.0,14,2.825085379622577e-05,9.648225220467868e-05,9.997175712505708
30.0,4.0,13,4.848660218967276e-05,0.0001786732376173584,9.99515368959228
30.0,5.0,11,5.4832382830645385e-05,0.00025095672648593623,9.99451976665946
30.0,6.0,10,4.3101480838120886e-05,0.000167956418088977,9.995691708853471
30.0,7.0,9,5.158777212507066e-05,0.0002098863037256482,9.994843882713528
30.0,8.0,8,5.747660615668156e-05,0.00024369497220097514,9.994255641046903
30.0,9.0,6,6.398961697621353e-05,0.0002863251999864665,9.99360513035497
30.0,10.0,4,5.865716123725513e-05,0.0002807455518778479,9.994137722521828
31.0,1.0,16,3.970463482510557e-05,0.00016041533876987035,9.996031112349836
31.0,2.0,15,5.105618059980057e-05,0.0001966952999626829,9.994896987343378
31.0,3.0,14,3.333512667334137e-05,0.00013366481525837033,9.996667598193028
31.0,4.0,13,4.029989643442012e-05,0.00014004130194999166,9.99597163378397
31.0,5.0,12,4.663976165304073e-05,0.000181291889845799,9.995338198087996
31.0,6.0,10,6.208541637041417e-05,0.00026022116839194973,9.993795310570224
31.0,7.0,9,4.981295509486898e-05,0.00020032477111980244,9.995021184585598
31.0,8.0,8,5.63586679082197e-05,0.0001993659259340863,9.994367307719514
31.0,9.0,6,7.59711787984512e-05,0.00035675175991030833,9.992408649358723
31.0,10.0,4,6.410489899972421e-05,0.00023664896364289367,9.99359361690544
32.0,1.0,14,2.730127498757651e-05,9.561800364795861e-05,9.99727061765742
32.0,2.0,13,2.8103296396870635e-05,8.526534081744794e-05,9.997190459933686
32.0,3.0,12,4.699322249328227e-05,0.00017537262188980587,9.995302885076338
32.0,4.0,11,5.61327992786879e-05,0.00019738412910192353,9.994389869195595
32.0,5.0,10,5.022747209398957e-05,0.0002068591762834471,9.99497977432305
32.0,6.0,9,6.314950481040579e-05,0.0002564143586265308,9.993689034862193
32.0,7.0,8,5.61479817585404e-05,0.00020793197430735155,9.994388352650875
32.0,8.0,7,4.931861573057384e-05,0.00021035898153171878,9.995070569553802
32.0,9.0,6,5.1581159239658893e-05,0.00018800879313018992,9.994844543320353
32.0,10.0,5,6.799691136649824e-05,0.0002838262688238835,9.99320492930155
32.0,11.0,5,9.102233716164556e-05,0.00039402450486876185,9.990906043815295
33.0,1.0,13,5.675886384419921e-05,0.00023635032449099446,9.994327333356717
33.0,2.0,13,2.5901953802304246e-05,7.623072571239807e-05,9.997410475357245
33.0,3.0,11,6.234626684849431e-05,0.0002392792336237984,9.993769257950214
33.0,4.0,9,5.329972194087753e-05,0.00019703410181325253,9.994672867152907
33.0,5.0,8,5.1080810534170576e-05,0.00018429884626952608,9.994894526863641
33.0,6.0,7,5.176212389608669e-05,0.00017371624172165693,9.994826465541706
33.0,7.0,6,5.3152467116340754e-05,0.00024278339606694418,9.994687576972268
33.0,8.0,5,6.033364807819779e-05,0.0002786653894874647,9.99397027314636
33.0,9.0,5,5.975906457137204e-05,0.0002087867734730686,9.994027662555853
34.0,1.0,14,2.2826345279616735e-05,1.6651623722837732e-05,9.997717886395169
34.0,2.0,14,3.359499485425353e-05,8.880399005915609e-05,9.99664162875922
34.0,3.0,12,3.849923877005397e-06,2.5754751572145313e-08,9.999615022433643
34.0,4.0,11,5.3805324087645674e-05,0.00023175436392586235,9.994622361047302
34.0,5.0,10,4.9956905020685795e-05,0.0001968670563250452,9.995006803944142
34.0,6.0,10,5.5586181341945976e-05,0.00020609814236491886,9.9944444699728
34.0,7.0,9,4.049438946868826e-05,0.00016612712683805597,9.995952200184954
34.0,8.0,8,5.978992379295773e-05,0.0002637102764062038,9.994024580319577
34.0,9.0,7,5.688448311239019e-05,0.00017131450939635227,9.994314785693533
34.0,10.0,6,6.374614207379963e-05,0.00030364158180717915,9.993629446774529
34.0,11.0,5,6.337242030694364e-05,0.0002986710943635451,9.993666771489496
